observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-06-02T14:07:59.904637Z,2024-06-02T14:07:59.959413Z,2024-06-02T14:07:59.968091Z,563.714 ms,8.681001 ms,8.681001 ms,8.681001 ms,8.681001 ms,1
2024-06-02T14:08:05.189270Z,2024-06-02T14:08:05.205951Z,2024-06-02T14:08:05.209550Z,771.3330000000001 ms,3.600962 ms,6.1409815 ms,3.600962 ms,8.681001 ms,2
2024-06-02T14:08:10.104550Z,2024-06-02T14:08:10.121154Z,2024-06-02T14:08:10.124851Z,697.821 ms,3.697774 ms,5.326579 ms,3.600962 ms,8.681001 ms,3
2024-06-02T14:08:15.344543Z,2024-06-02T14:08:15.396851Z,2024-06-02T14:08:15.403782Z,826.185 ms,6.933063 ms,5.7282 ms,3.600962 ms,8.681001 ms,4
2024-06-02T14:08:20.508949Z,2024-06-02T14:08:20.525387Z,2024-06-02T14:08:20.528996Z,686.943 ms,3.610408 ms,5.3046416 ms,3.600962 ms,8.681001 ms,5
2024-06-02T14:08:25.821129Z,2024-06-02T14:08:25.837356Z,2024-06-02T14:08:25.841135Z,687.0079999999999 ms,3.780386 ms,5.050599 ms,3.600962 ms,8.681001 ms,6
2024-06-02T14:08:30.352501Z,2024-06-02T14:08:30.364751Z,2024-06-02T14:08:30.368345Z,675.59 ms,3.594685 ms,4.842611285714286 ms,3.594685 ms,8.681001 ms,7
2024-06-02T14:08:35.745289Z,2024-06-02T14:08:35.761609Z,2024-06-02T14:08:35.765472Z,646.3870000000001 ms,3.864388 ms,4.720333375 ms,3.594685 ms,8.681001 ms,8
2024-06-02T14:08:40.956568Z,2024-06-02T14:08:40.972470Z,2024-06-02T14:08:40.976173Z,650.322 ms,3.70412 ms,4.607420777777778 ms,3.594685 ms,8.681001 ms,9
2024-06-02T14:08:45.664659Z,2024-06-02T14:08:45.679050Z,2024-06-02T14:08:45.682616Z,633.783 ms,3.56687 ms,4.5033657 ms,3.56687 ms,8.681001 ms,10
2024-06-02T14:08:50.260493Z,2024-06-02T14:08:50.272157Z,2024-06-02T14:08:50.275944Z,662.466 ms,3.78859 ms,4.43838609090909 ms,3.56687 ms,8.681001 ms,11
2024-06-02T14:08:55.303088Z,2024-06-02T14:08:55.315150Z,2024-06-02T14:08:55.318798Z,641.8779999999999 ms,3.649863 ms,4.372675833333333 ms,3.56687 ms,8.681001 ms,12
2024-06-02T14:09:00.404671Z,2024-06-02T14:09:00.420476Z,2024-06-02T14:09:00.424176Z,653.906 ms,3.700945 ms,4.321004230769231 ms,3.56687 ms,8.681001 ms,13
2024-06-02T14:09:05.199106Z,2024-06-02T14:09:05.215255Z,2024-06-02T14:09:05.218967Z,625.3570000000001 ms,3.713536 ms,4.277613642857142 ms,3.56687 ms,8.681001 ms,14
