observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-05-31T14:53:55.952Z,2024-05-31T14:53:55.972012Z,2024-05-31T14:53:55.997748Z,45.748 ms,25.737851 ms,25.737851 ms,25.737851 ms,25.737851 ms,1
2024-05-31T14:53:55.969Z,2024-05-31T14:53:56.007088Z,2024-05-31T14:53:56.025195Z,56.195 ms,18.107394 ms,21.9226225 ms,18.107394 ms,25.737851 ms,2
2024-05-31T14:53:55.977Z,2024-05-31T14:53:56.026716Z,2024-05-31T14:53:56.039600Z,62.6 ms,12.883073 ms,18.90943933333333 ms,12.883073 ms,25.737851 ms,3
2024-05-31T14:53:55.985Z,2024-05-31T14:53:56.040719Z,2024-05-31T14:53:56.049940Z,64.94 ms,9.220409 ms,16.48718175 ms,9.220409 ms,25.737851 ms,4
2024-05-31T14:53:55.997Z,2024-05-31T14:53:56.053629Z,2024-05-31T14:53:56.060541Z,63.541 ms,6.913009 ms,14.5723472 ms,6.913009 ms,25.737851 ms,5
2024-05-31T14:53:56.004Z,2024-05-31T14:53:56.061161Z,2024-05-31T14:53:56.066644Z,62.644000000000005 ms,5.482515 ms,13.057375166666667 ms,5.482515 ms,25.737851 ms,6
2024-05-31T14:53:56.012Z,2024-05-31T14:53:56.067176Z,2024-05-31T14:53:56.071896Z,59.896 ms,4.72048 ms,11.866390142857144 ms,4.72048 ms,25.737851 ms,7
2024-05-31T14:53:56.020Z,2024-05-31T14:53:56.072353Z,2024-05-31T14:53:56.076678Z,56.678 ms,4.324515 ms,10.92365575 ms,4.324515 ms,25.737851 ms,8
2024-05-31T14:53:56.025Z,2024-05-31T14:53:56.077119Z,2024-05-31T14:53:56.081252Z,56.252 ms,4.13181 ms,10.169006222222222 ms,4.13181 ms,25.737851 ms,9
2024-05-31T14:53:56.031Z,2024-05-31T14:53:56.081673Z,2024-05-31T14:53:56.085751Z,54.751 ms,4.077443 ms,9.5598499 ms,4.077443 ms,25.737851 ms,10
2024-05-31T14:53:56.036Z,2024-05-31T14:53:56.086192Z,2024-05-31T14:53:56.090415Z,54.415 ms,4.22336 ms,9.074714454545456 ms,4.077443 ms,25.737851 ms,11
2024-05-31T14:53:56.040Z,2024-05-31T14:53:56.090856Z,2024-05-31T14:53:56.094833Z,54.833 ms,3.975972 ms,8.64981925 ms,3.975972 ms,25.737851 ms,12
2024-05-31T14:54:01.312Z,2024-05-31T14:54:01.321393Z,2024-05-31T14:54:01.327533Z,15.533 ms,6.143748 ms,8.457044538461538 ms,3.975972 ms,25.737851 ms,13
2024-05-31T14:54:01.319Z,2024-05-31T14:54:01.329200Z,2024-05-31T14:54:01.333996Z,14.996 ms,4.795088 ms,8.195476214285714 ms,3.975972 ms,25.737851 ms,14
2024-05-31T14:54:01.324Z,2024-05-31T14:54:01.334536Z,2024-05-31T14:54:01.339659Z,15.658999999999999 ms,5.121676 ms,7.9905562 ms,3.975972 ms,25.737851 ms,15
2024-05-31T14:54:01.326Z,2024-05-31T14:54:01.340172Z,2024-05-31T14:54:01.345133Z,19.133 ms,4.960482 ms,7.8011765625 ms,3.975972 ms,25.737851 ms,16
2024-05-31T14:54:01.327Z,2024-05-31T14:54:01.347290Z,2024-05-31T14:54:01.352547Z,25.547 ms,5.256343 ms,7.651480470588235 ms,3.975972 ms,25.737851 ms,17
