observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-05-11T10:48:43.986Z,2024-05-11T10:48:43.992467Z,2024-05-11T10:48:44.027189Z,41.189 ms,34.722414 ms,34.722414 ms,34.722414 ms,34.722414 ms,1
2024-05-11T10:48:43.991Z,2024-05-11T10:48:44.030081Z,2024-05-11T10:48:44.055243Z,64.243 ms,25.161189 ms,29.9418015 ms,25.161189 ms,34.722414 ms,2
2024-05-11T10:48:43.993Z,2024-05-11T10:48:44.055765Z,2024-05-11T10:48:44.080772Z,87.772 ms,25.005292 ms,28.296298333333333 ms,25.005292 ms,34.722414 ms,3
2024-05-11T10:48:43.996Z,2024-05-11T10:48:44.081339Z,2024-05-11T10:48:44.105454Z,109.454 ms,24.112252 ms,27.25028675 ms,24.112252 ms,34.722414 ms,4
2024-05-11T10:48:43.999Z,2024-05-11T10:48:44.105952Z,2024-05-11T10:48:44.115125Z,116.125 ms,9.1704 ms,23.6343094 ms,9.1704 ms,34.722414 ms,5
2024-05-11T10:48:44.001Z,2024-05-11T10:48:44.115748Z,2024-05-11T10:48:44.124850Z,123.85000000000001 ms,9.099992 ms,21.21192316666667 ms,9.099992 ms,34.722414 ms,6
2024-05-11T10:48:44.003Z,2024-05-11T10:48:44.125374Z,2024-05-11T10:48:44.134445Z,131.445 ms,9.068873 ms,19.477201714285712 ms,9.068873 ms,34.722414 ms,7
2024-05-11T10:48:44.006Z,2024-05-11T10:48:44.135034Z,2024-05-11T10:48:44.143471Z,137.471 ms,8.43565 ms,18.09700775 ms,8.43565 ms,34.722414 ms,8
2024-05-11T10:48:44.009Z,2024-05-11T10:48:44.143888Z,2024-05-11T10:48:44.152842Z,143.84199999999998 ms,8.952378 ms,17.080937777777777 ms,8.43565 ms,34.722414 ms,9
2024-05-11T10:48:44.011Z,2024-05-11T10:48:44.153335Z,2024-05-11T10:48:44.162187Z,151.18699999999998 ms,8.849223 ms,16.2577663 ms,8.43565 ms,34.722414 ms,10
2024-05-11T10:48:44.013Z,2024-05-11T10:48:44.162784Z,2024-05-11T10:48:44.171387Z,158.387 ms,8.600453 ms,15.561646909090909 ms,8.43565 ms,34.722414 ms,11
2024-05-11T10:48:44.015Z,2024-05-11T10:48:44.171904Z,2024-05-11T10:48:44.180266Z,165.266 ms,8.359774 ms,14.961490833333334 ms,8.359774 ms,34.722414 ms,12
2024-05-11T10:48:48.836Z,2024-05-11T10:48:48.840116Z,2024-05-11T10:48:48.861389Z,25.389 ms,21.271678 ms,15.446889846153846 ms,8.359774 ms,34.722414 ms,13
2024-05-11T10:48:48.839Z,2024-05-11T10:48:48.864589Z,2024-05-11T10:48:48.876993Z,37.993 ms,12.404755 ms,15.2295945 ms,8.359774 ms,34.722414 ms,14
2024-05-11T10:48:48.841Z,2024-05-11T10:48:48.877507Z,2024-05-11T10:48:48.901519Z,60.519000000000005 ms,24.009463 ms,15.814919066666667 ms,8.359774 ms,34.722414 ms,15
2024-05-11T10:48:48.843Z,2024-05-11T10:48:48.902008Z,2024-05-11T10:48:48.913133Z,70.133 ms,11.123189 ms,15.5216859375 ms,8.359774 ms,34.722414 ms,16
2024-05-11T10:48:48.845Z,2024-05-11T10:48:48.913589Z,2024-05-11T10:48:48.926615Z,81.615 ms,13.024403 ms,15.37478694117647 ms,8.359774 ms,34.722414 ms,17
2024-05-11T10:48:48.848Z,2024-05-11T10:48:48.927199Z,2024-05-11T10:48:48.939438Z,91.438 ms,12.236921 ms,15.200461055555555 ms,8.359774 ms,34.722414 ms,18
2024-05-11T10:48:48.850Z,2024-05-11T10:48:48.940001Z,2024-05-11T10:48:48.951342Z,101.342 ms,11.338836 ms,14.997217631578946 ms,8.359774 ms,34.722414 ms,19
2024-05-11T10:48:48.852Z,2024-05-11T10:48:48.951831Z,2024-05-11T10:48:48.962957Z,110.957 ms,11.12408 ms,14.80356075 ms,8.359774 ms,34.722414 ms,20
2024-05-11T10:48:48.854Z,2024-05-11T10:48:48.963466Z,2024-05-11T10:48:48.973256Z,119.256 ms,9.788623 ms,14.56475419047619 ms,8.359774 ms,34.722414 ms,21
2024-05-11T10:48:48.856Z,2024-05-11T10:48:48.973768Z,2024-05-11T10:48:48.984509Z,128.50900000000001 ms,10.739031 ms,14.390857681818181 ms,8.359774 ms,34.722414 ms,22
2024-05-11T10:48:48.859Z,2024-05-11T10:48:48.985023Z,2024-05-11T10:48:48.993834Z,134.834 ms,8.80972 ms,14.14819952173913 ms,8.359774 ms,34.722414 ms,23
2024-05-11T10:48:48.861Z,2024-05-11T10:48:48.996122Z,2024-05-11T10:48:49.005835Z,144.83499999999998 ms,9.712683 ms,13.963386333333334 ms,8.359774 ms,34.722414 ms,24
2024-05-11T10:48:53.807Z,2024-05-11T10:48:53.809821Z,2024-05-11T10:48:53.819707Z,12.706999999999999 ms,9.884565 ms,13.800233480000001 ms,8.359774 ms,34.722414 ms,25
2024-05-11T10:48:53.809Z,2024-05-11T10:48:53.822962Z,2024-05-11T10:48:53.833781Z,24.781000000000002 ms,10.818319 ms,13.685544461538463 ms,8.359774 ms,34.722414 ms,26
2024-05-11T10:48:53.811Z,2024-05-11T10:48:53.834412Z,2024-05-11T10:48:53.848693Z,37.693 ms,14.2787 ms,13.707513185185185 ms,8.359774 ms,34.722414 ms,27
