observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-06-02T12:28:44.838788Z,2024-06-02T12:28:44.855572Z,2024-06-02T12:28:45.216118Z,377.33 ms,360.547191 ms,360.547191 ms,360.547191 ms,360.547191 ms,1
2024-06-02T12:28:50.050367Z,2024-06-02T12:28:50.065158Z,2024-06-02T12:28:50.524573Z,474.206 ms,459.416419 ms,409.981805 ms,360.547191 ms,459.416419 ms,2
2024-06-02T12:28:55.108476Z,2024-06-02T12:28:55.119309Z,2024-06-02T12:28:55.662055Z,553.5790000000001 ms,542.747045 ms,454.236885 ms,360.547191 ms,542.747045 ms,3
2024-06-02T12:29:00.442219Z,2024-06-02T12:29:00.462802Z,2024-06-02T12:29:00.956307Z,514.088 ms,493.505569 ms,464.054056 ms,360.547191 ms,542.747045 ms,4
2024-06-02T12:29:05.272599Z,2024-06-02T12:29:05.286069Z,2024-06-02T12:29:05.774931Z,502.332 ms,488.863124 ms,469.01586960000003 ms,360.547191 ms,542.747045 ms,5
2024-06-02T12:29:10.291439Z,2024-06-02T12:29:10.307031Z,2024-06-02T12:29:10.799864Z,508.425 ms,492.834294 ms,472.985607 ms,360.547191 ms,542.747045 ms,6
2024-06-02T12:29:15.563304Z,2024-06-02T12:29:15.573017Z,2024-06-02T12:29:16.033777Z,470.47299999999996 ms,460.760594 ms,471.2391765714286 ms,360.547191 ms,542.747045 ms,7
2024-06-02T12:29:20.084563Z,2024-06-02T12:29:20.098895Z,2024-06-02T12:29:20.505246Z,420.683 ms,406.35246 ms,463.128337 ms,360.547191 ms,542.747045 ms,8
2024-06-02T12:29:24.634978Z,2024-06-02T12:29:24.649118Z,2024-06-02T12:29:25.059004Z,424.026 ms,409.88649 ms,457.2125762222222 ms,360.547191 ms,542.747045 ms,9
2024-06-02T12:29:29.408503Z,2024-06-02T12:29:29.428672Z,2024-06-02T12:29:29.914496Z,505.99300000000005 ms,485.824996 ms,460.0738182 ms,360.547191 ms,542.747045 ms,10
2024-06-02T12:29:34.377732Z,2024-06-02T12:29:34.391405Z,2024-06-02T12:29:34.883176Z,505.444 ms,491.771189 ms,462.9553973636364 ms,360.547191 ms,542.747045 ms,11
2024-06-02T12:29:38.971655Z,2024-06-02T12:29:38.985858Z,2024-06-02T12:29:39.432336Z,460.681 ms,446.478895 ms,461.5823555 ms,360.547191 ms,542.747045 ms,12
2024-06-02T12:29:44.464540Z,2024-06-02T12:29:44.478665Z,2024-06-02T12:29:44.877694Z,413.154 ms,399.030376 ms,456.7706647692308 ms,360.547191 ms,542.747045 ms,13
2024-06-02T12:29:49.651948Z,2024-06-02T12:29:49.665764Z,2024-06-02T12:29:50.067134Z,415.186 ms,401.36985 ms,452.8134637142857 ms,360.547191 ms,542.747045 ms,14
2024-06-02T12:29:54.349414Z,2024-06-02T12:29:54.362872Z,2024-06-02T12:29:54.744511Z,395.097 ms,381.640671 ms,448.0686108666667 ms,360.547191 ms,542.747045 ms,15
2024-06-02T12:29:59.664486Z,2024-06-02T12:29:59.674606Z,2024-06-02T12:30:00.048984Z,384.498 ms,374.378382 ms,443.4629715625 ms,360.547191 ms,542.747045 ms,16
2024-06-02T12:30:04.604334Z,2024-06-02T12:30:04.624369Z,2024-06-02T12:30:05.010631Z,406.297 ms,386.263179 ms,440.09827788235293 ms,360.547191 ms,542.747045 ms,17
2024-06-02T12:30:09.918215Z,2024-06-02T12:30:09.931758Z,2024-06-02T12:30:10.321783Z,403.568 ms,390.025485 ms,437.3164560555556 ms,360.547191 ms,542.747045 ms,18
2024-06-02T12:30:15.312758Z,2024-06-02T12:30:15.322821Z,2024-06-02T12:30:15.732614Z,419.856 ms,409.794428 ms,435.8679282631579 ms,360.547191 ms,542.747045 ms,19
2024-06-02T12:30:20.092514Z,2024-06-02T12:30:20.101875Z,2024-06-02T12:30:20.495928Z,403.414 ms,394.054465 ms,433.77725510000005 ms,360.547191 ms,542.747045 ms,20
2024-06-02T12:30:24.622401Z,2024-06-02T12:30:24.635667Z,2024-06-02T12:30:25.022208Z,399.807 ms,386.542082 ms,431.5279611428571 ms,360.547191 ms,542.747045 ms,21
2024-06-02T12:30:29.744184Z,2024-06-02T12:30:29.757728Z,2024-06-02T12:30:30.128640Z,384.456 ms,370.911942 ms,428.7726875454546 ms,360.547191 ms,542.747045 ms,22
2024-06-02T12:30:34.588562Z,2024-06-02T12:30:34.602754Z,2024-06-02T12:30:34.984054Z,395.492 ms,381.301102 ms,426.7087055652174 ms,360.547191 ms,542.747045 ms,23
2024-06-02T12:30:39.169140Z,2024-06-02T12:30:39.188136Z,2024-06-02T12:30:39.558015Z,388.875 ms,369.88012 ms,424.3408478333333 ms,360.547191 ms,542.747045 ms,24
2024-06-02T12:30:44.188445Z,2024-06-02T12:30:44.202611Z,2024-06-02T12:30:44.591830Z,403.385 ms,389.221453 ms,422.93607204 ms,360.547191 ms,542.747045 ms,25
2024-06-02T12:30:49.624484Z,2024-06-02T12:30:49.634424Z,2024-06-02T12:30:50.043758Z,419.274 ms,409.334992 ms,422.4129535769231 ms,360.547191 ms,542.747045 ms,26
2024-06-02T12:30:54.423293Z,2024-06-02T12:30:54.436805Z,2024-06-02T12:30:54.807325Z,384.032 ms,370.520064 ms,420.4909947037037 ms,360.547191 ms,542.747045 ms,27
2024-06-02T12:30:59.705232Z,2024-06-02T12:30:59.724922Z,2024-06-02T12:31:00.103278Z,398.046 ms,378.356969 ms,418.9862080714286 ms,360.547191 ms,542.747045 ms,28
2024-06-02T12:31:04.451323Z,2024-06-02T12:31:04.464820Z,2024-06-02T12:31:04.838396Z,387.073 ms,373.57698 ms,417.42037262068965 ms,360.547191 ms,542.747045 ms,29
2024-06-02T12:31:09.468638Z,2024-06-02T12:31:09.482476Z,2024-06-02T12:31:09.847240Z,378.602 ms,364.764148 ms,415.66516513333335 ms,360.547191 ms,542.747045 ms,30
2024-06-02T12:31:14.149646Z,2024-06-02T12:31:14.163318Z,2024-06-02T12:31:14.528287Z,378.641 ms,364.970082 ms,414.02983987096775 ms,360.547191 ms,542.747045 ms,31
2024-06-02T12:31:19.609073Z,2024-06-02T12:31:19.628026Z,2024-06-02T12:31:20.003946Z,394.873 ms,375.920268 ms,412.83891575 ms,360.547191 ms,542.747045 ms,32
2024-06-02T12:31:24.177064Z,2024-06-02T12:31:24.202073Z,2024-06-02T12:31:24.645139Z,468.07500000000005 ms,443.068711 ms,413.7549701515151 ms,360.547191 ms,542.747045 ms,33
2024-06-02T12:31:29.357510Z,2024-06-02T12:31:29.367071Z,2024-06-02T12:31:29.757030Z,399.52 ms,389.959738 ms,413.05511038235295 ms,360.547191 ms,542.747045 ms,34
2024-06-02T12:31:34.867530Z,2024-06-02T12:31:34.882739Z,2024-06-02T12:31:35.253042Z,385.512 ms,370.303809 ms,411.83364462857145 ms,360.547191 ms,542.747045 ms,35
2024-06-02T12:31:39.654717Z,2024-06-02T12:31:39.668331Z,2024-06-02T12:31:40.041900Z,387.183 ms,373.569266 ms,410.7707452222222 ms,360.547191 ms,542.747045 ms,36
2024-06-02T12:31:44.728690Z,2024-06-02T12:31:44.742506Z,2024-06-02T12:31:45.107339Z,378.649 ms,364.833198 ms,409.5291898918919 ms,360.547191 ms,542.747045 ms,37
2024-06-02T12:31:49.416798Z,2024-06-02T12:31:49.430357Z,2024-06-02T12:31:49.799095Z,382.297 ms,368.73827 ms,408.4557446315789 ms,360.547191 ms,542.747045 ms,38
2024-06-02T12:31:54.294476Z,2024-06-02T12:31:54.308538Z,2024-06-02T12:31:54.679377Z,384.901 ms,370.839688 ms,407.49123035897435 ms,360.547191 ms,542.747045 ms,39
2024-06-02T12:31:59.344205Z,2024-06-02T12:31:59.357567Z,2024-06-02T12:31:59.723610Z,379.405 ms,366.044652 ms,406.45506589999997 ms,360.547191 ms,542.747045 ms,40
2024-06-02T12:32:04.170977Z,2024-06-02T12:32:04.184616Z,2024-06-02T12:32:04.559436Z,388.459 ms,374.821765 ms,405.6835219756098 ms,360.547191 ms,542.747045 ms,41
2024-06-02T12:32:09.248523Z,2024-06-02T12:32:09.257751Z,2024-06-02T12:32:09.671943Z,423.42 ms,414.192657 ms,405.8861204285714 ms,360.547191 ms,542.747045 ms,42
2024-06-02T12:32:14.544680Z,2024-06-02T12:32:14.561700Z,2024-06-02T12:32:14.934857Z,390.177 ms,373.157536 ms,405.1249905581396 ms,360.547191 ms,542.747045 ms,43
2024-06-02T12:32:19.396499Z,2024-06-02T12:32:19.405931Z,2024-06-02T12:32:19.780091Z,383.592 ms,374.161769 ms,404.4212809772728 ms,360.547191 ms,542.747045 ms,44
2024-06-02T12:32:24.828469Z,2024-06-02T12:32:24.837370Z,2024-06-02T12:32:25.213830Z,385.361 ms,376.461078 ms,403.79994313333333 ms,360.547191 ms,542.747045 ms,45
2024-06-02T12:32:29.773645Z,2024-06-02T12:32:29.787376Z,2024-06-02T12:32:30.169525Z,395.88 ms,382.150601 ms,403.32930526086955 ms,360.547191 ms,542.747045 ms,46
2024-06-02T12:32:34.778528Z,2024-06-02T12:32:34.792220Z,2024-06-02T12:32:35.160811Z,382.28299999999996 ms,368.592399 ms,402.59022214893616 ms,360.547191 ms,542.747045 ms,47
2024-06-02T12:32:39.666038Z,2024-06-02T12:32:39.679623Z,2024-06-02T12:32:40.051835Z,385.797 ms,372.213551 ms,401.9573748333333 ms,360.547191 ms,542.747045 ms,48
2024-06-02T12:32:44.480481Z,2024-06-02T12:32:44.489863Z,2024-06-02T12:32:44.861914Z,381.43300000000005 ms,372.052278 ms,401.3470667346939 ms,360.547191 ms,542.747045 ms,49
2024-06-02T12:32:49.550492Z,2024-06-02T12:32:49.596963Z,2024-06-02T12:32:49.962192Z,411.7 ms,365.231599 ms,400.62475738 ms,360.547191 ms,542.747045 ms,50
2024-06-02T12:32:54.212641Z,2024-06-02T12:32:54.231761Z,2024-06-02T12:32:54.594127Z,381.486 ms,362.366626 ms,399.8745979411765 ms,360.547191 ms,542.747045 ms,51
2024-06-02T12:32:59.584181Z,2024-06-02T12:32:59.598084Z,2024-06-02T12:32:59.986355Z,402.174 ms,388.272309 ms,399.651477 ms,360.547191 ms,542.747045 ms,52
2024-06-02T12:33:04.620570Z,2024-06-02T12:33:04.634077Z,2024-06-02T12:33:05.002987Z,382.41700000000003 ms,368.911137 ms,399.0714705849057 ms,360.547191 ms,542.747045 ms,53
2024-06-02T12:33:09.904549Z,2024-06-02T12:33:09.918245Z,2024-06-02T12:33:10.290113Z,385.564 ms,371.868511 ms,398.5677120740741 ms,360.547191 ms,542.747045 ms,54
2024-06-02T12:33:14.803489Z,2024-06-02T12:33:14.816926Z,2024-06-02T12:33:15.182828Z,379.339 ms,365.902478 ms,397.97379872727277 ms,360.547191 ms,542.747045 ms,55
2024-06-02T12:33:20.228691Z,2024-06-02T12:33:20.242084Z,2024-06-02T12:33:20.605334Z,376.64300000000003 ms,363.250265 ms,397.353735625 ms,360.547191 ms,542.747045 ms,56
2024-06-02T12:33:25.280176Z,2024-06-02T12:33:25.291772Z,2024-06-02T12:33:25.678957Z,398.781 ms,387.170153 ms,397.1750762807018 ms,360.547191 ms,542.747045 ms,57
2024-06-02T12:33:30.585538Z,2024-06-02T12:33:30.628901Z,2024-06-02T12:33:31.059714Z,474.176 ms,430.816863 ms,397.7551070862069 ms,360.547191 ms,542.747045 ms,58
2024-06-02T12:33:35.928695Z,2024-06-02T12:33:35.937813Z,2024-06-02T12:33:36.300989Z,372.29400000000004 ms,363.176883 ms,397.1690354915254 ms,360.547191 ms,542.747045 ms,59
2024-06-02T12:33:40.600686Z,2024-06-02T12:33:40.614185Z,2024-06-02T12:33:41.009623Z,408.937 ms,395.438432 ms,397.14019210000004 ms,360.547191 ms,542.747045 ms,60
2024-06-02T12:33:45.297697Z,2024-06-02T12:33:45.311011Z,2024-06-02T12:33:45.677320Z,379.623 ms,366.309643 ms,396.6347732622951 ms,360.547191 ms,542.747045 ms,61
2024-06-02T12:33:50.492488Z,2024-06-02T12:33:50.506106Z,2024-06-02T12:33:50.873642Z,381.154 ms,367.536518 ms,396.1654465645161 ms,360.547191 ms,542.747045 ms,62
2024-06-02T12:33:55.924653Z,2024-06-02T12:33:55.937814Z,2024-06-02T12:33:56.301896Z,377.243 ms,364.082647 ms,395.6561957777778 ms,360.547191 ms,542.747045 ms,63
2024-06-02T12:34:00.600594Z,2024-06-02T12:34:00.609374Z,2024-06-02T12:34:01.028409Z,427.815 ms,419.03563 ms,396.0214994375 ms,360.547191 ms,542.747045 ms,64
2024-06-02T12:34:05.260473Z,2024-06-02T12:34:05.269729Z,2024-06-02T12:34:05.636671Z,376.198 ms,366.943238 ms,395.5741415692308 ms,360.547191 ms,542.747045 ms,65
2024-06-02T12:34:10.696517Z,2024-06-02T12:34:10.705604Z,2024-06-02T12:34:11.085626Z,389.109 ms,380.023114 ms,395.33851993939396 ms,360.547191 ms,542.747045 ms,66
2024-06-02T12:34:15.824482Z,2024-06-02T12:34:15.833856Z,2024-06-02T12:34:16.228637Z,404.155 ms,394.781947 ms,395.330212880597 ms,360.547191 ms,542.747045 ms,67
2024-06-02T12:34:20.635881Z,2024-06-02T12:34:20.648929Z,2024-06-02T12:34:21.047536Z,411.655 ms,398.607418 ms,395.37840707352944 ms,360.547191 ms,542.747045 ms,68
2024-06-02T12:34:25.625565Z,2024-06-02T12:34:25.639105Z,2024-06-02T12:34:26.015338Z,389.77299999999997 ms,376.233168 ms,395.1009398405797 ms,360.547191 ms,542.747045 ms,69
2024-06-02T12:34:30.716654Z,2024-06-02T12:34:30.729867Z,2024-06-02T12:34:31.095776Z,379.122 ms,365.909281 ms,394.68391614285713 ms,360.547191 ms,542.747045 ms,70
2024-06-02T12:34:35.494314Z,2024-06-02T12:34:35.507893Z,2024-06-02T12:34:35.877319Z,383.005 ms,369.427097 ms,394.32818629577463 ms,360.547191 ms,542.747045 ms,71
2024-06-02T12:34:40.264808Z,2024-06-02T12:34:40.278261Z,2024-06-02T12:34:40.647144Z,382.336 ms,368.883615 ms,393.9747894722222 ms,360.547191 ms,542.747045 ms,72
2024-06-02T12:34:44.931719Z,2024-06-02T12:34:44.951216Z,2024-06-02T12:34:45.343881Z,412.162 ms,392.666277 ms,393.9568646438356 ms,360.547191 ms,542.747045 ms,73
2024-06-02T12:34:50.052513Z,2024-06-02T12:34:50.062091Z,2024-06-02T12:34:50.428227Z,375.714 ms,366.137042 ms,393.5809210945946 ms,360.547191 ms,542.747045 ms,74
2024-06-02T12:34:55.340510Z,2024-06-02T12:34:55.353310Z,2024-06-02T12:34:55.735875Z,395.365 ms,382.565862 ms,393.43405364 ms,360.547191 ms,542.747045 ms,75
2024-06-02T12:35:00.472469Z,2024-06-02T12:35:00.485778Z,2024-06-02T12:35:00.886641Z,414.17199999999997 ms,400.863529 ms,393.53180989473685 ms,360.547191 ms,542.747045 ms,76
2024-06-02T12:35:05.316430Z,2024-06-02T12:35:05.325897Z,2024-06-02T12:35:05.686870Z,370.44 ms,360.974621 ms,393.1089892597402 ms,360.547191 ms,542.747045 ms,77
2024-06-02T12:35:10.813843Z,2024-06-02T12:35:10.822714Z,2024-06-02T12:35:11.200590Z,386.747 ms,377.8772 ms,392.9137099102564 ms,360.547191 ms,542.747045 ms,78
2024-06-02T12:35:15.940691Z,2024-06-02T12:35:15.949894Z,2024-06-02T12:35:16.329177Z,388.486 ms,379.283255 ms,392.7411725063291 ms,360.547191 ms,542.747045 ms,79
2024-06-02T12:35:21.299200Z,2024-06-02T12:35:21.312809Z,2024-06-02T12:35:21.679671Z,380.471 ms,366.863213 ms,392.4176980125 ms,360.547191 ms,542.747045 ms,80
2024-06-02T12:35:26.188148Z,2024-06-02T12:35:26.201975Z,2024-06-02T12:35:26.594980Z,406.83200000000005 ms,393.006065 ms,392.4249618024691 ms,360.547191 ms,542.747045 ms,81
2024-06-02T12:35:31.161790Z,2024-06-02T12:35:31.177657Z,2024-06-02T12:35:31.542839Z,381.04900000000004 ms,365.182749 ms,392.09273969512196 ms,360.547191 ms,542.747045 ms,82
2024-06-02T12:35:36.533997Z,2024-06-02T12:35:36.547789Z,2024-06-02T12:35:36.921780Z,387.783 ms,373.991471 ms,391.8746521204819 ms,360.547191 ms,542.747045 ms,83
2024-06-02T12:35:41.456675Z,2024-06-02T12:35:41.470676Z,2024-06-02T12:35:41.844955Z,388.28000000000003 ms,374.280075 ms,391.66519286904764 ms,360.547191 ms,542.747045 ms,84
2024-06-02T12:35:46.177780Z,2024-06-02T12:35:46.191573Z,2024-06-02T12:35:46.586304Z,408.524 ms,394.731389 ms,391.7012657647059 ms,360.547191 ms,542.747045 ms,85
2024-06-02T12:35:51.497308Z,2024-06-02T12:35:51.510677Z,2024-06-02T12:35:51.874509Z,377.201 ms,363.833277 ms,391.37721938372096 ms,360.547191 ms,542.747045 ms,86
2024-06-02T12:35:56.759430Z,2024-06-02T12:35:56.772858Z,2024-06-02T12:35:57.165204Z,405.774 ms,392.346389 ms,391.3883592643678 ms,360.547191 ms,542.747045 ms,87
2024-06-02T12:36:01.563524Z,2024-06-02T12:36:01.576666Z,2024-06-02T12:36:01.953000Z,389.476 ms,376.334227 ms,391.2172895795454 ms,360.547191 ms,542.747045 ms,88
2024-06-02T12:36:06.092272Z,2024-06-02T12:36:06.105668Z,2024-06-02T12:36:06.475818Z,383.546 ms,370.150268 ms,390.9805814719101 ms,360.547191 ms,542.747045 ms,89
2024-06-02T12:36:11.143206Z,2024-06-02T12:36:11.156198Z,2024-06-02T12:36:11.520117Z,376.911 ms,363.91991 ms,390.6799073444445 ms,360.547191 ms,542.747045 ms,90
2024-06-02T12:36:16.579769Z,2024-06-02T12:36:16.593463Z,2024-06-02T12:36:16.954444Z,374.67499999999995 ms,360.980994 ms,390.3535456593407 ms,360.547191 ms,542.747045 ms,91
2024-06-02T12:36:21.332437Z,2024-06-02T12:36:21.341639Z,2024-06-02T12:36:21.751233Z,418.796 ms,409.595626 ms,390.56269870652176 ms,360.547191 ms,542.747045 ms,92
2024-06-02T12:36:26.324668Z,2024-06-02T12:36:26.338591Z,2024-06-02T12:36:26.711391Z,386.72299999999996 ms,372.800549 ms,390.3717078494624 ms,360.547191 ms,542.747045 ms,93
2024-06-02T12:36:31.838265Z,2024-06-02T12:36:31.851320Z,2024-06-02T12:36:32.235641Z,397.37600000000003 ms,384.321712 ms,390.30734619148933 ms,360.547191 ms,542.747045 ms,94
2024-06-02T12:36:36.722625Z,2024-06-02T12:36:36.736694Z,2024-06-02T12:36:37.103135Z,380.51 ms,366.442021 ms,390.05613224210526 ms,360.547191 ms,542.747045 ms,95
2024-06-02T12:36:41.344876Z,2024-06-02T12:36:41.358635Z,2024-06-02T12:36:41.729092Z,384.216 ms,370.45811 ms,389.8519861770833 ms,360.547191 ms,542.747045 ms,96
2024-06-02T12:36:46.680668Z,2024-06-02T12:36:46.694463Z,2024-06-02T12:36:47.063062Z,382.394 ms,368.599903 ms,389.63289253608247 ms,360.547191 ms,542.747045 ms,97
2024-06-02T12:36:51.502010Z,2024-06-02T12:36:51.515756Z,2024-06-02T12:36:51.877716Z,375.70599999999996 ms,361.960238 ms,389.3505185102041 ms,360.547191 ms,542.747045 ms,98
2024-06-02T12:36:56.764640Z,2024-06-02T12:36:56.778518Z,2024-06-02T12:36:57.141579Z,376.939 ms,363.062469 ms,389.08498265656567 ms,360.547191 ms,542.747045 ms,99
2024-06-02T12:37:01.424466Z,2024-06-02T12:37:01.433455Z,2024-06-02T12:37:01.811328Z,386.86199999999997 ms,377.873439 ms,388.97286722 ms,360.547191 ms,542.747045 ms,100
2024-06-02T12:37:06.015694Z,2024-06-02T12:37:06.029298Z,2024-06-02T12:37:06.451747Z,436.053 ms,422.449653 ms,389.30432054455446 ms,360.547191 ms,542.747045 ms,101
2024-06-02T12:37:10.963443Z,2024-06-02T12:37:10.972397Z,2024-06-02T12:37:11.352921Z,389.478 ms,380.525207 ms,389.2182508039216 ms,360.547191 ms,542.747045 ms,102
2024-06-02T12:37:15.852022Z,2024-06-02T12:37:15.865341Z,2024-06-02T12:37:16.266952Z,414.93 ms,401.611335 ms,389.33857200970874 ms,360.547191 ms,542.747045 ms,103
2024-06-02T12:37:20.752559Z,2024-06-02T12:37:20.767801Z,2024-06-02T12:37:21.134303Z,381.744 ms,366.504244 ms,389.11901116346155 ms,360.547191 ms,542.747045 ms,104
2024-06-02T12:37:25.419614Z,2024-06-02T12:37:25.433617Z,2024-06-02T12:37:25.803631Z,384.017 ms,370.014779 ms,388.9370660952381 ms,360.547191 ms,542.747045 ms,105
2024-06-02T12:37:30.612663Z,2024-06-02T12:37:30.626438Z,2024-06-02T12:37:31.007924Z,395.26099999999997 ms,381.486175 ms,388.8667746698113 ms,360.547191 ms,542.747045 ms,106
2024-06-02T12:37:35.913808Z,2024-06-02T12:37:35.927333Z,2024-06-02T12:37:36.294968Z,381.16 ms,367.635869 ms,388.6683549906542 ms,360.547191 ms,542.747045 ms,107
2024-06-02T12:37:40.475899Z,2024-06-02T12:37:40.489158Z,2024-06-02T12:37:40.892342Z,416.443 ms,403.184913 ms,388.8027675648148 ms,360.547191 ms,542.747045 ms,108
2024-06-02T12:37:45.328721Z,2024-06-02T12:37:45.342442Z,2024-06-02T12:37:45.719728Z,391.007 ms,377.286971 ms,388.69711805504585 ms,360.547191 ms,542.747045 ms,109
2024-06-02T12:37:50.340745Z,2024-06-02T12:37:50.354008Z,2024-06-02T12:37:50.721635Z,380.89 ms,367.62728 ms,388.50557407272726 ms,360.547191 ms,542.747045 ms,110
2024-06-02T12:37:55.168951Z,2024-06-02T12:37:55.182390Z,2024-06-02T12:37:55.563598Z,394.64700000000005 ms,381.209377 ms,388.4398425675676 ms,360.547191 ms,542.747045 ms,111
2024-06-02T12:37:59.717410Z,2024-06-02T12:37:59.730260Z,2024-06-02T12:38:00.104987Z,387.577 ms,374.728117 ms,388.3174164464286 ms,360.547191 ms,542.747045 ms,112
2024-06-02T12:38:04.258887Z,2024-06-02T12:38:04.277842Z,2024-06-02T12:38:04.655110Z,396.223 ms,377.26866 ms,388.21963984070794 ms,360.547191 ms,542.747045 ms,113
2024-06-02T12:38:08.938210Z,2024-06-02T12:38:08.956707Z,2024-06-02T12:38:09.329597Z,391.387 ms,372.89012 ms,388.0851703684211 ms,360.547191 ms,542.747045 ms,114
2024-06-02T12:38:13.769734Z,2024-06-02T12:38:13.783400Z,2024-06-02T12:38:14.149660Z,379.926 ms,366.26067 ms,387.8953921043478 ms,360.547191 ms,542.747045 ms,115
2024-06-02T12:38:18.508668Z,2024-06-02T12:38:18.522177Z,2024-06-02T12:38:18.892071Z,383.403 ms,369.894589 ms,387.74021276724136 ms,360.547191 ms,542.747045 ms,116
2024-06-02T12:38:23.233250Z,2024-06-02T12:38:23.249033Z,2024-06-02T12:38:23.640512Z,407.262 ms,391.479519 ms,387.77217264957267 ms,360.547191 ms,542.747045 ms,117
