observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-06-02T07:51:35.205615Z,2024-06-02T07:51:35.232853Z,2024-06-02T07:51:35.388843Z,183.228 ms,155.99207 ms,155.99207 ms,155.99207 ms,155.99207 ms,1
2024-06-02T07:51:40.455750Z,2024-06-02T07:51:40.472540Z,2024-06-02T07:51:40.634711Z,178.961 ms,162.172667 ms,159.0823685 ms,155.99207 ms,162.172667 ms,2
2024-06-02T07:51:45.264226Z,2024-06-02T07:51:45.280380Z,2024-06-02T07:51:45.441602Z,177.376 ms,161.222953 ms,159.79589666666666 ms,155.99207 ms,162.172667 ms,3
2024-06-02T07:51:50.784537Z,2024-06-02T07:51:50.796881Z,2024-06-02T07:51:50.964215Z,179.678 ms,167.335134 ms,161.680706 ms,155.99207 ms,167.335134 ms,4
2024-06-02T07:51:55.330033Z,2024-06-02T07:51:55.346401Z,2024-06-02T07:51:55.504095Z,174.06199999999998 ms,157.695359 ms,160.8836366 ms,155.99207 ms,167.335134 ms,5
2024-06-02T07:52:00.082111Z,2024-06-02T07:52:00.093845Z,2024-06-02T07:52:00.252569Z,170.458 ms,158.724714 ms,160.52381616666665 ms,155.99207 ms,167.335134 ms,6
2024-06-02T07:52:05.268295Z,2024-06-02T07:52:05.284415Z,2024-06-02T07:52:05.443562Z,175.267 ms,159.148233 ms,160.3273042857143 ms,155.99207 ms,167.335134 ms,7
2024-06-02T07:52:09.820569Z,2024-06-02T07:52:09.836005Z,2024-06-02T07:52:09.992729Z,172.16 ms,156.725211 ms,159.877042625 ms,155.99207 ms,167.335134 ms,8
2024-06-02T07:52:15.044203Z,2024-06-02T07:52:15.067286Z,2024-06-02T07:52:15.225525Z,181.322 ms,158.239366 ms,159.69507855555554 ms,155.99207 ms,167.335134 ms,9
2024-06-02T07:52:20.027736Z,2024-06-02T07:52:20.044197Z,2024-06-02T07:52:20.206354Z,178.618 ms,162.158049 ms,159.9413756 ms,155.99207 ms,167.335134 ms,10
2024-06-02T07:52:24.672646Z,2024-06-02T07:52:24.690460Z,2024-06-02T07:52:24.861211Z,188.565 ms,170.752459 ms,160.92420136363637 ms,155.99207 ms,170.752459 ms,11
2024-06-02T07:52:29.956554Z,2024-06-02T07:52:29.972805Z,2024-06-02T07:52:30.130657Z,174.103 ms,157.852244 ms,160.66820491666667 ms,155.99207 ms,170.752459 ms,12
2024-06-02T07:52:35.261815Z,2024-06-02T07:52:35.277858Z,2024-06-02T07:52:35.435872Z,174.057 ms,158.015371 ms,160.4641407692308 ms,155.99207 ms,170.752459 ms,13
2024-06-02T07:52:40.468531Z,2024-06-02T07:52:40.484480Z,2024-06-02T07:52:40.641603Z,173.072 ms,157.123884 ms,160.225551 ms,155.99207 ms,170.752459 ms,14
2024-06-02T07:52:45.441298Z,2024-06-02T07:52:45.456803Z,2024-06-02T07:52:45.615111Z,173.813 ms,158.308908 ms,160.09777480000002 ms,155.99207 ms,170.752459 ms,15
2024-06-02T07:52:50.536478Z,2024-06-02T07:52:50.548326Z,2024-06-02T07:52:50.707129Z,170.651 ms,158.804207 ms,160.0169268125 ms,155.99207 ms,170.752459 ms,16
2024-06-02T07:52:55.585606Z,2024-06-02T07:52:55.602198Z,2024-06-02T07:52:55.760699Z,175.093 ms,158.501908 ms,159.92780805882353 ms,155.99207 ms,170.752459 ms,17
2024-06-02T07:53:00.691532Z,2024-06-02T07:53:00.708042Z,2024-06-02T07:53:00.868276Z,176.744 ms,160.235672 ms,159.9449116111111 ms,155.99207 ms,170.752459 ms,18
2024-06-02T07:53:05.904088Z,2024-06-02T07:53:05.919363Z,2024-06-02T07:53:06.079555Z,175.467 ms,160.193244 ms,159.9579817368421 ms,155.99207 ms,170.752459 ms,19
2024-06-02T07:53:10.772542Z,2024-06-02T07:53:10.825275Z,2024-06-02T07:53:11.013793Z,241.251 ms,188.520726 ms,161.38611895 ms,155.99207 ms,188.520726 ms,20
2024-06-02T07:53:15.451825Z,2024-06-02T07:53:15.467744Z,2024-06-02T07:53:15.626276Z,174.451 ms,158.532072 ms,161.25021195238097 ms,155.99207 ms,188.520726 ms,21
2024-06-02T07:53:19.986082Z,2024-06-02T07:53:19.997815Z,2024-06-02T07:53:20.160618Z,174.536 ms,162.803747 ms,161.32082718181817 ms,155.99207 ms,188.520726 ms,22
2024-06-02T07:53:24.573426Z,2024-06-02T07:53:24.597034Z,2024-06-02T07:53:24.755753Z,182.327 ms,158.720225 ms,161.20775752173913 ms,155.99207 ms,188.520726 ms,23
2024-06-02T07:53:29.964494Z,2024-06-02T07:53:29.983574Z,2024-06-02T07:53:30.147723Z,183.229 ms,164.15005 ms,161.33035304166665 ms,155.99207 ms,188.520726 ms,24
2024-06-02T07:53:34.953630Z,2024-06-02T07:53:34.976697Z,2024-06-02T07:53:35.138998Z,185.368 ms,162.301377 ms,161.369194 ms,155.99207 ms,188.520726 ms,25
2024-06-02T07:53:40.270697Z,2024-06-02T07:53:40.288357Z,2024-06-02T07:53:40.451234Z,180.537 ms,162.877698 ms,161.42721338461538 ms,155.99207 ms,188.520726 ms,26
2024-06-02T07:53:45.312546Z,2024-06-02T07:53:45.349844Z,2024-06-02T07:53:45.527285Z,214.739 ms,177.442273 ms,162.02036374074075 ms,155.99207 ms,188.520726 ms,27
2024-06-02T07:53:50.105473Z,2024-06-02T07:53:50.121616Z,2024-06-02T07:53:50.288011Z,182.538 ms,166.396582 ms,162.17665725 ms,155.99207 ms,188.520726 ms,28
2024-06-02T07:53:55.185229Z,2024-06-02T07:53:55.200913Z,2024-06-02T07:53:55.361942Z,176.71300000000002 ms,161.029486 ms,162.13709962068967 ms,155.99207 ms,188.520726 ms,29
2024-06-02T07:53:59.875678Z,2024-06-02T07:53:59.891436Z,2024-06-02T07:54:00.053239Z,177.561 ms,161.804694 ms,162.12601943333334 ms,155.99207 ms,188.520726 ms,30
2024-06-02T07:54:05.157840Z,2024-06-02T07:54:05.173737Z,2024-06-02T07:54:05.336294Z,178.454 ms,162.556854 ms,162.13991732258063 ms,155.99207 ms,188.520726 ms,31
2024-06-02T07:54:10.482695Z,2024-06-02T07:54:10.498680Z,2024-06-02T07:54:10.664586Z,181.891 ms,165.906968 ms,162.25763765625 ms,155.99207 ms,188.520726 ms,32
2024-06-02T07:54:15.029664Z,2024-06-02T07:54:15.045492Z,2024-06-02T07:54:15.208245Z,178.581 ms,162.753665 ms,162.27266878787879 ms,155.99207 ms,188.520726 ms,33
2024-06-02T07:54:19.988488Z,2024-06-02T07:54:20.009324Z,2024-06-02T07:54:20.186839Z,198.351 ms,177.516553 ms,162.72101832352942 ms,155.99207 ms,188.520726 ms,34
2024-06-02T07:54:24.929240Z,2024-06-02T07:54:24.944501Z,2024-06-02T07:54:25.107113Z,177.873 ms,162.61229 ms,162.71791180000002 ms,155.99207 ms,188.520726 ms,35
2024-06-02T07:54:29.928649Z,2024-06-02T07:54:29.944290Z,2024-06-02T07:54:30.106162Z,177.513 ms,161.873163 ms,162.69444655555554 ms,155.99207 ms,188.520726 ms,36
2024-06-02T07:54:34.766071Z,2024-06-02T07:54:34.781363Z,2024-06-02T07:54:34.943853Z,177.78199999999998 ms,162.490179 ms,162.68892581081082 ms,155.99207 ms,188.520726 ms,37
2024-06-02T07:54:39.840833Z,2024-06-02T07:54:39.863566Z,2024-06-02T07:54:40.025689Z,184.856 ms,162.124641 ms,162.67407621052632 ms,155.99207 ms,188.520726 ms,38
2024-06-02T07:54:44.839977Z,2024-06-02T07:54:44.855137Z,2024-06-02T07:54:45.017491Z,177.514 ms,162.354569 ms,162.6658837179487 ms,155.99207 ms,188.520726 ms,39
2024-06-02T07:54:49.923063Z,2024-06-02T07:54:49.938953Z,2024-06-02T07:54:50.101102Z,178.03900000000002 ms,162.150454 ms,162.652997975 ms,155.99207 ms,188.520726 ms,40
2024-06-02T07:54:54.756540Z,2024-06-02T07:54:54.778639Z,2024-06-02T07:54:54.955406Z,198.86599999999999 ms,176.767723 ms,162.9972595609756 ms,155.99207 ms,188.520726 ms,41
2024-06-02T07:54:59.835193Z,2024-06-02T07:54:59.851330Z,2024-06-02T07:55:00.013694Z,178.501 ms,162.365426 ms,162.98221590476192 ms,155.99207 ms,188.520726 ms,42
2024-06-02T07:55:05.255668Z,2024-06-02T07:55:05.271341Z,2024-06-02T07:55:05.435780Z,180.112 ms,164.440539 ms,163.01613039534885 ms,155.99207 ms,188.520726 ms,43
2024-06-02T07:55:10.722303Z,2024-06-02T07:55:10.738375Z,2024-06-02T07:55:10.901570Z,179.267 ms,163.19586 ms,163.0202151590909 ms,155.99207 ms,188.520726 ms,44
2024-06-02T07:55:15.346349Z,2024-06-02T07:55:15.362535Z,2024-06-02T07:55:15.527101Z,180.752 ms,164.566811 ms,163.05458395555556 ms,155.99207 ms,188.520726 ms,45
2024-06-02T07:55:20.489497Z,2024-06-02T07:55:20.505030Z,2024-06-02T07:55:20.667189Z,177.69199999999998 ms,162.159457 ms,163.03512467391303 ms,155.99207 ms,188.520726 ms,46
2024-06-02T07:55:25.200668Z,2024-06-02T07:55:25.216492Z,2024-06-02T07:55:25.379116Z,178.448 ms,162.623936 ms,163.0263759787234 ms,155.99207 ms,188.520726 ms,47
2024-06-02T07:55:29.935826Z,2024-06-02T07:55:29.951805Z,2024-06-02T07:55:30.114823Z,178.99699999999999 ms,163.019131 ms,163.02622504166666 ms,155.99207 ms,188.520726 ms,48
2024-06-02T07:55:34.483826Z,2024-06-02T07:55:34.499207Z,2024-06-02T07:55:34.666393Z,182.567 ms,167.187062 ms,163.11114008163264 ms,155.99207 ms,188.520726 ms,49
2024-06-02T07:55:39.838432Z,2024-06-02T07:55:39.853995Z,2024-06-02T07:55:40.015713Z,177.281 ms,161.718165 ms,163.08328058 ms,155.99207 ms,188.520726 ms,50
2024-06-02T07:55:44.759535Z,2024-06-02T07:55:44.775149Z,2024-06-02T07:55:44.937054Z,177.519 ms,161.905927 ms,163.06019521568626 ms,155.99207 ms,188.520726 ms,51
2024-06-02T07:55:50.241938Z,2024-06-02T07:55:50.257266Z,2024-06-02T07:55:50.421553Z,179.615 ms,164.287605 ms,163.08379925 ms,155.99207 ms,188.520726 ms,52
2024-06-02T07:55:55.543391Z,2024-06-02T07:55:55.559019Z,2024-06-02T07:55:55.722440Z,179.049 ms,163.42226 ms,163.0901853018868 ms,155.99207 ms,188.520726 ms,53
2024-06-02T07:56:00.476560Z,2024-06-02T07:56:00.492012Z,2024-06-02T07:56:00.653473Z,176.91299999999998 ms,161.462653 ms,163.0600458148148 ms,155.99207 ms,188.520726 ms,54
2024-06-02T07:56:05.679869Z,2024-06-02T07:56:05.694830Z,2024-06-02T07:56:05.858814Z,178.945 ms,163.984995 ms,163.07686307272726 ms,155.99207 ms,188.520726 ms,55
2024-06-02T07:56:10.776674Z,2024-06-02T07:56:10.792473Z,2024-06-02T07:56:10.956094Z,179.42 ms,163.621882 ms,163.08659555357144 ms,155.99207 ms,188.520726 ms,56
2024-06-02T07:56:15.608521Z,2024-06-02T07:56:15.659902Z,2024-06-02T07:56:15.824231Z,215.71 ms,164.330323 ms,163.10841533333334 ms,155.99207 ms,188.520726 ms,57
2024-06-02T07:56:20.781677Z,2024-06-02T07:56:20.797305Z,2024-06-02T07:56:20.959286Z,177.60899999999998 ms,161.982036 ms,163.088995 ms,155.99207 ms,188.520726 ms,58
2024-06-02T07:56:26.072583Z,2024-06-02T07:56:26.095516Z,2024-06-02T07:56:26.298416Z,225.833 ms,202.901239 ms,163.76377879661018 ms,155.99207 ms,202.901239 ms,59
2024-06-02T07:56:30.938083Z,2024-06-02T07:56:30.953780Z,2024-06-02T07:56:31.116229Z,178.146 ms,162.450046 ms,163.74188325 ms,155.99207 ms,202.901239 ms,60
2024-06-02T07:56:36.243528Z,2024-06-02T07:56:36.257437Z,2024-06-02T07:56:36.419425Z,175.897 ms,161.989077 ms,163.71314872131148 ms,155.99207 ms,202.901239 ms,61
2024-06-02T07:56:41.273526Z,2024-06-02T07:56:41.288935Z,2024-06-02T07:56:41.450426Z,176.9 ms,161.4913 ms,163.6773124516129 ms,155.99207 ms,202.901239 ms,62
2024-06-02T07:56:46.404667Z,2024-06-02T07:56:46.427331Z,2024-06-02T07:56:46.588624Z,183.95700000000002 ms,161.294549 ms,163.63949080952383 ms,155.99207 ms,202.901239 ms,63
2024-06-02T07:56:51.212512Z,2024-06-02T07:56:51.228103Z,2024-06-02T07:56:51.386634Z,174.12199999999999 ms,158.531778 ms,163.559682796875 ms,155.99207 ms,202.901239 ms,64
2024-06-02T07:56:56.534610Z,2024-06-02T07:56:56.549952Z,2024-06-02T07:56:56.715785Z,181.175 ms,165.833432 ms,163.59466355384615 ms,155.99207 ms,202.901239 ms,65
2024-06-02T07:57:02.053356Z,2024-06-02T07:57:02.068754Z,2024-06-02T07:57:02.230385Z,177.029 ms,161.631446 ms,163.56491783333334 ms,155.99207 ms,202.901239 ms,66
2024-06-02T07:57:07.528294Z,2024-06-02T07:57:07.543624Z,2024-06-02T07:57:07.708313Z,180.019 ms,164.689373 ms,163.58170074626867 ms,155.99207 ms,202.901239 ms,67
2024-06-02T07:57:12.928683Z,2024-06-02T07:57:12.951164Z,2024-06-02T07:57:13.113295Z,184.612 ms,162.131618 ms,163.560376 ms,155.99207 ms,202.901239 ms,68
2024-06-02T07:57:17.732592Z,2024-06-02T07:57:17.743636Z,2024-06-02T07:57:17.902685Z,170.093 ms,159.050933 ms,163.49502175362318 ms,155.99207 ms,202.901239 ms,69
2024-06-02T07:57:22.512536Z,2024-06-02T07:57:22.527860Z,2024-06-02T07:57:22.690186Z,177.65 ms,162.326628 ms,163.47833041428572 ms,155.99207 ms,202.901239 ms,70
2024-06-02T07:57:27.920678Z,2024-06-02T07:57:27.935892Z,2024-06-02T07:57:28.097860Z,177.18200000000002 ms,161.969058 ms,163.45707305633803 ms,155.99207 ms,202.901239 ms,71
2024-06-02T07:57:33.229011Z,2024-06-02T07:57:33.244518Z,2024-06-02T07:57:33.404471Z,175.46 ms,159.954065 ms,163.40842016666664 ms,155.99207 ms,202.901239 ms,72
2024-06-02T07:57:38.396669Z,2024-06-02T07:57:38.412090Z,2024-06-02T07:57:38.576294Z,179.625 ms,164.204715 ms,163.41932831506847 ms,155.99207 ms,202.901239 ms,73
2024-06-02T07:57:43.181507Z,2024-06-02T07:57:43.196734Z,2024-06-02T07:57:43.355380Z,173.873 ms,158.646212 ms,163.35482674324325 ms,155.99207 ms,202.901239 ms,74
2024-06-02T07:57:48.660164Z,2024-06-02T07:57:48.675620Z,2024-06-02T07:57:48.837975Z,177.811 ms,162.356646 ms,163.34151766666665 ms,155.99207 ms,202.901239 ms,75
2024-06-02T07:57:53.665679Z,2024-06-02T07:57:53.681836Z,2024-06-02T07:57:53.842510Z,176.831 ms,160.674875 ms,163.3064302631579 ms,155.99207 ms,202.901239 ms,76
2024-06-02T07:57:58.260549Z,2024-06-02T07:57:58.310943Z,2024-06-02T07:57:58.497988Z,237.43900000000002 ms,187.04689 ms,163.61474792207792 ms,155.99207 ms,202.901239 ms,77
2024-06-02T07:58:03.640989Z,2024-06-02T07:58:03.656676Z,2024-06-02T07:58:03.816434Z,175.445 ms,159.758324 ms,163.56530658974359 ms,155.99207 ms,202.901239 ms,78
2024-06-02T07:58:08.358106Z,2024-06-02T07:58:08.373567Z,2024-06-02T07:58:08.538837Z,180.731 ms,165.271042 ms,163.58689817721518 ms,155.99207 ms,202.901239 ms,79
2024-06-02T07:58:13.028532Z,2024-06-02T07:58:13.043697Z,2024-06-02T07:58:13.205693Z,177.161 ms,161.997044 ms,163.567025 ms,155.99207 ms,202.901239 ms,80
2024-06-02T07:58:18.202655Z,2024-06-02T07:58:18.218433Z,2024-06-02T07:58:18.380541Z,177.886 ms,162.10896 ms,163.54902419753085 ms,155.99207 ms,202.901239 ms,81
2024-06-02T07:58:23.120633Z,2024-06-02T07:58:23.134589Z,2024-06-02T07:58:23.296445Z,175.81199999999998 ms,161.856846 ms,163.5283878780488 ms,155.99207 ms,202.901239 ms,82
2024-06-02T07:58:27.939601Z,2024-06-02T07:58:27.954621Z,2024-06-02T07:58:28.116066Z,176.465 ms,161.446816 ms,163.50330869879517 ms,155.99207 ms,202.901239 ms,83
2024-06-02T07:58:33.133529Z,2024-06-02T07:58:33.162956Z,2024-06-02T07:58:33.343995Z,210.46599999999998 ms,181.040196 ms,163.71208116666665 ms,155.99207 ms,202.901239 ms,84
2024-06-02T07:58:38.631631Z,2024-06-02T07:58:38.647949Z,2024-06-02T07:58:38.810980Z,179.34900000000002 ms,163.04711 ms,163.7042579764706 ms,155.99207 ms,202.901239 ms,85
2024-06-02T07:58:43.916507Z,2024-06-02T07:58:43.927947Z,2024-06-02T07:58:44.090645Z,174.13799999999998 ms,162.69971 ms,163.69257718604652 ms,155.99207 ms,202.901239 ms,86
2024-06-02T07:58:48.985659Z,2024-06-02T07:58:49.001673Z,2024-06-02T07:58:49.164473Z,178.814 ms,162.800838 ms,163.68232731034482 ms,155.99207 ms,202.901239 ms,87
2024-06-02T07:58:53.610110Z,2024-06-02T07:58:53.625756Z,2024-06-02T07:58:53.786990Z,176.88 ms,161.235232 ms,163.6545194090909 ms,155.99207 ms,202.901239 ms,88
2024-06-02T07:58:59.078913Z,2024-06-02T07:58:59.094356Z,2024-06-02T07:58:59.258235Z,179.322 ms,163.879582 ms,163.6570482022472 ms,155.99207 ms,202.901239 ms,89
2024-06-02T07:59:04.071845Z,2024-06-02T07:59:04.087752Z,2024-06-02T07:59:04.252760Z,180.915 ms,165.008916 ms,163.67206895555555 ms,155.99207 ms,202.901239 ms,90
2024-06-02T07:59:09.202360Z,2024-06-02T07:59:09.218619Z,2024-06-02T07:59:09.385828Z,183.468 ms,167.210478 ms,163.71095257142858 ms,155.99207 ms,202.901239 ms,91
2024-06-02T07:59:14.413819Z,2024-06-02T07:59:14.429083Z,2024-06-02T07:59:14.589853Z,176.034 ms,160.770622 ms,163.67899245652174 ms,155.99207 ms,202.901239 ms,92
2024-06-02T07:59:18.964527Z,2024-06-02T07:59:18.980218Z,2024-06-02T07:59:19.149803Z,185.276 ms,169.586373 ms,163.74251267741937 ms,155.99207 ms,202.901239 ms,93
2024-06-02T07:59:24.442545Z,2024-06-02T07:59:24.457819Z,2024-06-02T07:59:24.618685Z,176.14 ms,160.867651 ms,163.71192904255318 ms,155.99207 ms,202.901239 ms,94
2024-06-02T07:59:28.997757Z,2024-06-02T07:59:29.013380Z,2024-06-02T07:59:29.175233Z,177.476 ms,161.85361 ms,163.69236778947368 ms,155.99207 ms,202.901239 ms,95
2024-06-02T07:59:34.186836Z,2024-06-02T07:59:34.202550Z,2024-06-02T07:59:34.370127Z,183.291 ms,167.578211 ms,163.73284532291666 ms,155.99207 ms,202.901239 ms,96
2024-06-02T07:59:39.152734Z,2024-06-02T07:59:39.168667Z,2024-06-02T07:59:39.329756Z,177.02200000000002 ms,161.090571 ms,163.7056053814433 ms,155.99207 ms,202.901239 ms,97
2024-06-02T07:59:43.953610Z,2024-06-02T07:59:43.969196Z,2024-06-02T07:59:44.132755Z,179.145 ms,163.559188 ms,163.7041113265306 ms,155.99207 ms,202.901239 ms,98
2024-06-02T07:59:48.971690Z,2024-06-02T07:59:48.982740Z,2024-06-02T07:59:49.147262Z,175.572 ms,164.523705 ms,163.71239005050504 ms,155.99207 ms,202.901239 ms,99
