observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-05-11T18:40:34.011306Z,2024-05-11T18:40:34.037965Z,2024-05-11T18:40:34.764253Z,752.947 ms,726.288911 ms,726.288911 ms,726.288911 ms,726.288911 ms,1
2024-05-11T18:40:39.452229Z,2024-05-11T18:40:39.464764Z,2024-05-11T18:40:40.123725Z,671.496 ms,658.960034 ms,692.6244725 ms,658.960034 ms,726.288911 ms,2
2024-05-11T18:40:44.930566Z,2024-05-11T18:40:44.942627Z,2024-05-11T18:40:45.563222Z,632.656 ms,620.595134 ms,668.614693 ms,620.595134 ms,726.288911 ms,3
2024-05-11T18:40:49.887978Z,2024-05-11T18:40:49.900002Z,2024-05-11T18:40:50.509669Z,621.691 ms,609.666006 ms,653.87752125 ms,609.666006 ms,726.288911 ms,4
2024-05-11T18:40:54.608054Z,2024-05-11T18:40:54.619851Z,2024-05-11T18:40:55.212094Z,604.0400000000001 ms,592.242087 ms,641.5504344 ms,592.242087 ms,726.288911 ms,5
2024-05-11T18:40:59.480751Z,2024-05-11T18:40:59.492399Z,2024-05-11T18:41:00.070616Z,589.865 ms,578.21695 ms,630.9948536666666 ms,578.21695 ms,726.288911 ms,6
2024-05-11T18:41:04.967126Z,2024-05-11T18:41:04.978832Z,2024-05-11T18:41:05.556640Z,589.514 ms,577.808175 ms,623.3967567142857 ms,577.808175 ms,726.288911 ms,7
2024-05-11T18:41:10.479535Z,2024-05-11T18:41:10.491205Z,2024-05-11T18:41:11.067030Z,587.495 ms,575.823317 ms,617.45007675 ms,575.823317 ms,726.288911 ms,8
2024-05-11T18:41:15.794460Z,2024-05-11T18:41:15.805991Z,2024-05-11T18:41:16.379562Z,585.102 ms,573.570653 ms,612.5745852222223 ms,573.570653 ms,726.288911 ms,9
2024-05-11T18:41:20.740471Z,2024-05-11T18:41:20.751949Z,2024-05-11T18:41:21.308654Z,568.183 ms,556.704183 ms,606.987545 ms,556.704183 ms,726.288911 ms,10
2024-05-11T18:41:26.007536Z,2024-05-11T18:41:26.019069Z,2024-05-11T18:41:26.578761Z,571.225 ms,559.691332 ms,602.6878892727273 ms,556.704183 ms,726.288911 ms,11
2024-05-11T18:41:31.135550Z,2024-05-11T18:41:31.146842Z,2024-05-11T18:41:31.717920Z,582.37 ms,571.07797 ms,600.0537293333334 ms,556.704183 ms,726.288911 ms,12
2024-05-11T18:41:36.139785Z,2024-05-11T18:41:36.151515Z,2024-05-11T18:41:36.713196Z,573.4110000000001 ms,561.680824 ms,597.1019673846155 ms,556.704183 ms,726.288911 ms,13
2024-05-11T18:41:41.444121Z,2024-05-11T18:41:41.455635Z,2024-05-11T18:41:42.012082Z,567.961 ms,556.430636 ms,594.1968722857142 ms,556.430636 ms,726.288911 ms,14
2024-05-11T18:41:46.019445Z,2024-05-11T18:41:46.030815Z,2024-05-11T18:41:46.593614Z,574.1690000000001 ms,562.78242 ms,592.1025754666667 ms,556.430636 ms,726.288911 ms,15
2024-05-11T18:41:51.223788Z,2024-05-11T18:41:51.235289Z,2024-05-11T18:41:51.794371Z,570.583 ms,559.081321 ms,590.0387470625 ms,556.430636 ms,726.288911 ms,16
2024-05-11T18:41:56.259313Z,2024-05-11T18:41:56.271785Z,2024-05-11T18:41:56.846819Z,587.506 ms,575.033454 ms,589.1560827647058 ms,556.430636 ms,726.288911 ms,17
2024-05-11T18:42:01.333691Z,2024-05-11T18:42:01.345426Z,2024-05-11T18:42:01.899076Z,565.385 ms,553.649273 ms,587.1834822222222 ms,553.649273 ms,726.288911 ms,18
2024-05-11T18:42:06.323777Z,2024-05-11T18:42:06.335085Z,2024-05-11T18:42:06.902099Z,578.322 ms,567.013853 ms,586.1219227894736 ms,553.649273 ms,726.288911 ms,19
2024-05-11T18:42:11.078707Z,2024-05-11T18:42:11.089967Z,2024-05-11T18:42:11.639338Z,560.631 ms,549.370581 ms,584.2843557 ms,549.370581 ms,726.288911 ms,20
2024-05-11T18:42:15.904317Z,2024-05-11T18:42:15.915693Z,2024-05-11T18:42:16.454407Z,550.0899999999999 ms,538.713354 ms,582.114308 ms,538.713354 ms,726.288911 ms,21
2024-05-11T18:42:20.574080Z,2024-05-11T18:42:20.585407Z,2024-05-11T18:42:21.144256Z,570.176 ms,558.848646 ms,581.0567779090909 ms,538.713354 ms,726.288911 ms,22
2024-05-11T18:42:25.443586Z,2024-05-11T18:42:25.454872Z,2024-05-11T18:42:25.986499Z,542.913 ms,531.625905 ms,578.9076095217391 ms,531.625905 ms,726.288911 ms,23
2024-05-11T18:42:30.890936Z,2024-05-11T18:42:30.902494Z,2024-05-11T18:42:31.445751Z,554.8149999999999 ms,543.256683 ms,577.42215425 ms,531.625905 ms,726.288911 ms,24
2024-05-11T18:42:35.459432Z,2024-05-11T18:42:35.470523Z,2024-05-11T18:42:36.034030Z,574.5980000000001 ms,563.505894 ms,576.8655038400001 ms,531.625905 ms,726.288911 ms,25
2024-05-11T18:42:40.318485Z,2024-05-11T18:42:40.329757Z,2024-05-11T18:42:40.902477Z,583.992 ms,572.719634 ms,576.7060473076923 ms,531.625905 ms,726.288911 ms,26
2024-05-11T18:42:45.468771Z,2024-05-11T18:42:45.480183Z,2024-05-11T18:42:46.028627Z,559.856 ms,548.442629 ms,575.659254037037 ms,531.625905 ms,726.288911 ms,27
2024-05-11T18:42:50.633845Z,2024-05-11T18:42:50.645638Z,2024-05-11T18:42:51.192058Z,558.213 ms,546.419963 ms,574.6149936428571 ms,531.625905 ms,726.288911 ms,28
2024-05-11T18:42:55.413526Z,2024-05-11T18:42:55.424845Z,2024-05-11T18:42:55.976136Z,562.61 ms,551.290506 ms,573.8107009655173 ms,531.625905 ms,726.288911 ms,29
2024-05-11T18:43:00.460112Z,2024-05-11T18:43:00.471577Z,2024-05-11T18:43:01.041450Z,581.338 ms,569.872643 ms,573.6794323666667 ms,531.625905 ms,726.288911 ms,30
2024-05-11T18:43:05.351199Z,2024-05-11T18:43:05.362814Z,2024-05-11T18:43:05.902823Z,551.624 ms,540.008358 ms,572.5932686774194 ms,531.625905 ms,726.288911 ms,31
2024-05-11T18:43:10.427601Z,2024-05-11T18:43:10.438876Z,2024-05-11T18:43:10.992790Z,565.1890000000001 ms,553.925874 ms,572.00991259375 ms,531.625905 ms,726.288911 ms,32
2024-05-11T18:43:14.947331Z,2024-05-11T18:43:14.958745Z,2024-05-11T18:43:15.492113Z,544.782 ms,533.366792 ms,570.838908939394 ms,531.625905 ms,726.288911 ms,33
2024-05-11T18:43:20.403523Z,2024-05-11T18:43:20.415103Z,2024-05-11T18:43:20.958427Z,554.904 ms,543.323118 ms,570.0296209705882 ms,531.625905 ms,726.288911 ms,34
2024-05-11T18:43:25.684996Z,2024-05-11T18:43:25.696925Z,2024-05-11T18:43:26.252238Z,567.2420000000001 ms,555.312072 ms,569.6091195714286 ms,531.625905 ms,726.288911 ms,35
2024-05-11T18:43:30.859858Z,2024-05-11T18:43:30.871180Z,2024-05-11T18:43:31.434270Z,574.412 ms,563.088895 ms,569.4280022222222 ms,531.625905 ms,726.288911 ms,36
2024-05-11T18:43:35.943343Z,2024-05-11T18:43:35.954495Z,2024-05-11T18:43:36.497078Z,553.735 ms,542.566294 ms,568.7020101081082 ms,531.625905 ms,726.288911 ms,37
2024-05-11T18:43:41.001411Z,2024-05-11T18:43:41.012428Z,2024-05-11T18:43:41.584241Z,582.8299999999999 ms,571.811442 ms,568.7838372631578 ms,531.625905 ms,726.288911 ms,38
2024-05-11T18:43:46.362032Z,2024-05-11T18:43:46.373252Z,2024-05-11T18:43:46.896405Z,534.3729999999999 ms,523.152382 ms,567.613799948718 ms,523.152382 ms,726.288911 ms,39
2024-05-11T18:43:51.031681Z,2024-05-11T18:43:51.042925Z,2024-05-11T18:43:51.615581Z,583.9 ms,572.655779 ms,567.739849425 ms,523.152382 ms,726.288911 ms,40
2024-05-11T18:43:56.097264Z,2024-05-11T18:43:56.108995Z,2024-05-11T18:43:56.633524Z,536.26 ms,524.529374 ms,566.6859353902439 ms,523.152382 ms,726.288911 ms,41
2024-05-11T18:44:01.261536Z,2024-05-11T18:44:01.272722Z,2024-05-11T18:44:01.816135Z,554.5989999999999 ms,543.411644 ms,566.1317855952381 ms,523.152382 ms,726.288911 ms,42
2024-05-11T18:44:06.235525Z,2024-05-11T18:44:06.246526Z,2024-05-11T18:44:06.786699Z,551.1740000000001 ms,540.172707 ms,565.5280860930233 ms,523.152382 ms,726.288911 ms,43
2024-05-11T18:44:10.947160Z,2024-05-11T18:44:10.958293Z,2024-05-11T18:44:11.496049Z,548.889 ms,537.756077 ms,564.8969040681819 ms,523.152382 ms,726.288911 ms,44
2024-05-11T18:44:16.382319Z,2024-05-11T18:44:16.393593Z,2024-05-11T18:44:16.934985Z,552.6659999999999 ms,541.391429 ms,564.3745601777778 ms,523.152382 ms,726.288911 ms,45
2024-05-11T18:44:21.615346Z,2024-05-11T18:44:21.626910Z,2024-05-11T18:44:22.179902Z,564.5559999999999 ms,552.991625 ms,564.1271050652174 ms,523.152382 ms,726.288911 ms,46
2024-05-11T18:44:26.642928Z,2024-05-11T18:44:26.654100Z,2024-05-11T18:44:27.178649Z,535.721 ms,524.548116 ms,563.2849989148937 ms,523.152382 ms,726.288911 ms,47
2024-05-11T18:44:31.257786Z,2024-05-11T18:44:31.268891Z,2024-05-11T18:44:31.800848Z,543.062 ms,531.956824 ms,562.6323286041667 ms,523.152382 ms,726.288911 ms,48
2024-05-11T18:44:36.512285Z,2024-05-11T18:44:36.523470Z,2024-05-11T18:44:37.072436Z,560.151 ms,548.965429 ms,562.3534122857143 ms,523.152382 ms,726.288911 ms,49
2024-05-11T18:44:41.344699Z,2024-05-11T18:44:41.355759Z,2024-05-11T18:44:41.900101Z,555.4019999999999 ms,544.342446 ms,561.99319296 ms,523.152382 ms,726.288911 ms,50
2024-05-11T18:44:46.808363Z,2024-05-11T18:44:46.819575Z,2024-05-11T18:44:47.362157Z,553.794 ms,542.581448 ms,561.6125705098038 ms,523.152382 ms,726.288911 ms,51
2024-05-11T18:44:52.063978Z,2024-05-11T18:44:52.075216Z,2024-05-11T18:44:52.615486Z,551.508 ms,540.270141 ms,561.2021391730768 ms,523.152382 ms,726.288911 ms,52
2024-05-11T18:44:56.815658Z,2024-05-11T18:44:56.826582Z,2024-05-11T18:44:57.357845Z,542.187 ms,531.261818 ms,560.6372274528302 ms,523.152382 ms,726.288911 ms,53
2024-05-11T18:45:01.659027Z,2024-05-11T18:45:01.670477Z,2024-05-11T18:45:02.204637Z,545.61 ms,534.159003 ms,560.146889962963 ms,523.152382 ms,726.288911 ms,54
2024-05-11T18:45:06.703352Z,2024-05-11T18:45:06.714343Z,2024-05-11T18:45:07.252844Z,549.492 ms,538.500307 ms,559.7533157272727 ms,523.152382 ms,726.288911 ms,55
2024-05-11T18:45:12.148691Z,2024-05-11T18:45:12.159664Z,2024-05-11T18:45:12.687608Z,538.917 ms,527.943586 ms,559.1852848392857 ms,523.152382 ms,726.288911 ms,56
2024-05-11T18:45:17.609554Z,2024-05-11T18:45:17.620917Z,2024-05-11T18:45:18.169261Z,559.707 ms,548.344271 ms,558.9950916140351 ms,523.152382 ms,726.288911 ms,57
2024-05-11T18:45:23.015781Z,2024-05-11T18:45:23.028226Z,2024-05-11T18:45:23.684817Z,669.036 ms,656.591031 ms,560.6777802241379 ms,523.152382 ms,726.288911 ms,58
2024-05-11T18:45:28.183321Z,2024-05-11T18:45:28.196247Z,2024-05-11T18:45:28.758563Z,575.2420000000001 ms,562.315484 ms,560.7055379152542 ms,523.152382 ms,726.288911 ms,59
2024-05-11T18:45:33.155588Z,2024-05-11T18:45:33.166617Z,2024-05-11T18:45:33.729947Z,574.3589999999999 ms,563.342728 ms,560.7494910833334 ms,523.152382 ms,726.288911 ms,60
2024-05-11T18:45:38.610263Z,2024-05-11T18:45:38.621383Z,2024-05-11T18:45:39.168629Z,558.366 ms,547.24551 ms,560.5281143442622 ms,523.152382 ms,726.288911 ms,61
2024-05-11T18:45:44.083464Z,2024-05-11T18:45:44.094653Z,2024-05-11T18:45:44.618323Z,534.8589999999999 ms,523.669101 ms,559.9336141290322 ms,523.152382 ms,726.288911 ms,62
2024-05-11T18:45:49.317304Z,2024-05-11T18:45:49.328822Z,2024-05-11T18:45:49.818486Z,501.182 ms,489.662985 ms,558.8182073174603 ms,489.662985 ms,726.288911 ms,63
2024-05-11T18:45:53.946031Z,2024-05-11T18:45:53.957121Z,2024-05-11T18:45:54.487859Z,541.828 ms,530.737182 ms,558.379441296875 ms,489.662985 ms,726.288911 ms,64
2024-05-11T18:45:59.395337Z,2024-05-11T18:45:59.407317Z,2024-05-11T18:45:59.898481Z,503.14400000000006 ms,491.16376 ms,557.3453538923077 ms,489.662985 ms,726.288911 ms,65
2024-05-11T18:46:04.499342Z,2024-05-11T18:46:04.510506Z,2024-05-11T18:46:05.048087Z,548.745 ms,537.580638 ms,557.0458885 ms,489.662985 ms,726.288911 ms,66
2024-05-11T18:46:09.750265Z,2024-05-11T18:46:09.761288Z,2024-05-11T18:46:10.310756Z,560.491 ms,549.467427 ms,556.9327771343284 ms,489.662985 ms,726.288911 ms,67
2024-05-11T18:46:14.479531Z,2024-05-11T18:46:14.490347Z,2024-05-11T18:46:15.032969Z,553.438 ms,542.620892 ms,556.7223082352941 ms,489.662985 ms,726.288911 ms,68
2024-05-11T18:46:19.015590Z,2024-05-11T18:46:19.027130Z,2024-05-11T18:46:19.546660Z,531.07 ms,519.529582 ms,556.1832832173912 ms,489.662985 ms,726.288911 ms,69
2024-05-11T18:46:23.690868Z,2024-05-11T18:46:23.701897Z,2024-05-11T18:46:24.253426Z,562.558 ms,551.529187 ms,556.1167961285714 ms,489.662985 ms,726.288911 ms,70
2024-05-11T18:46:28.282233Z,2024-05-11T18:46:28.293410Z,2024-05-11T18:46:28.815671Z,533.438 ms,522.260612 ms,555.6399484647886 ms,489.662985 ms,726.288911 ms,71
2024-05-11T18:46:33.494066Z,2024-05-11T18:46:33.504985Z,2024-05-11T18:46:34.025087Z,531.021 ms,520.101894 ms,555.146364375 ms,489.662985 ms,726.288911 ms,72
2024-05-11T18:46:38.772865Z,2024-05-11T18:46:38.783758Z,2024-05-11T18:46:39.311720Z,538.855 ms,527.961838 ms,554.7739736027397 ms,489.662985 ms,726.288911 ms,73
2024-05-11T18:46:43.416810Z,2024-05-11T18:46:43.427765Z,2024-05-11T18:46:43.964034Z,547.224 ms,536.268931 ms,554.5239054594595 ms,489.662985 ms,726.288911 ms,74
2024-05-11T18:46:48.165612Z,2024-05-11T18:46:48.176547Z,2024-05-11T18:46:48.712142Z,546.53 ms,535.594338 ms,554.2715112266667 ms,489.662985 ms,726.288911 ms,75
2024-05-11T18:46:52.727341Z,2024-05-11T18:46:52.738369Z,2024-05-11T18:46:53.264014Z,536.673 ms,525.644496 ms,553.8948399736842 ms,489.662985 ms,726.288911 ms,76
2024-05-11T18:46:58.218977Z,2024-05-11T18:46:58.230022Z,2024-05-11T18:46:58.761165Z,542.188 ms,531.1565 ms,553.5995368571428 ms,489.662985 ms,726.288911 ms,77
2024-05-11T18:47:02.981141Z,2024-05-11T18:47:02.991987Z,2024-05-11T18:47:03.514213Z,533.072 ms,522.225812 ms,553.1973096153846 ms,489.662985 ms,726.288911 ms,78
2024-05-11T18:47:08.141891Z,2024-05-11T18:47:08.152890Z,2024-05-11T18:47:08.706227Z,564.3359999999999 ms,553.335598 ms,553.1990601012658 ms,489.662985 ms,726.288911 ms,79
2024-05-11T18:47:12.681655Z,2024-05-11T18:47:12.693056Z,2024-05-11T18:47:13.215550Z,533.895 ms,522.494273 ms,552.8152502625001 ms,489.662985 ms,726.288911 ms,80
2024-05-11T18:47:17.388414Z,2024-05-11T18:47:17.399428Z,2024-05-11T18:47:17.914755Z,526.3409999999999 ms,515.32672 ms,552.3524289012346 ms,489.662985 ms,726.288911 ms,81
2024-05-11T18:47:22.129282Z,2024-05-11T18:47:22.140298Z,2024-05-11T18:47:22.655343Z,526.061 ms,515.044149 ms,551.8974498780487 ms,489.662985 ms,726.288911 ms,82
2024-05-11T18:47:26.721620Z,2024-05-11T18:47:26.732525Z,2024-05-11T18:47:27.296797Z,575.177 ms,564.271899 ms,552.0465396265059 ms,489.662985 ms,726.288911 ms,83
2024-05-11T18:47:31.924251Z,2024-05-11T18:47:31.935130Z,2024-05-11T18:47:32.448854Z,524.6030000000001 ms,513.722634 ms,551.5903026547619 ms,489.662985 ms,726.288911 ms,84
2024-05-11T18:47:36.746780Z,2024-05-11T18:47:36.757858Z,2024-05-11T18:47:37.278824Z,532.044 ms,520.965606 ms,551.2300121058825 ms,489.662985 ms,726.288911 ms,85
2024-05-11T18:47:41.825213Z,2024-05-11T18:47:41.836312Z,2024-05-11T18:47:42.403586Z,578.373 ms,567.273479 ms,551.4165640465117 ms,489.662985 ms,726.288911 ms,86
2024-05-11T18:47:47.093551Z,2024-05-11T18:47:47.104395Z,2024-05-11T18:47:47.616909Z,523.358 ms,512.513311 ms,550.9694002183908 ms,489.662985 ms,726.288911 ms,87
2024-05-11T18:47:51.648280Z,2024-05-11T18:47:51.659386Z,2024-05-11T18:47:52.165278Z,516.9979999999999 ms,505.891746 ms,550.4571541477272 ms,489.662985 ms,726.288911 ms,88
2024-05-11T18:47:56.818789Z,2024-05-11T18:47:56.829781Z,2024-05-11T18:47:57.341941Z,523.1519999999999 ms,512.159937 ms,550.0268483370787 ms,489.662985 ms,726.288911 ms,89
2024-05-11T18:48:01.583740Z,2024-05-11T18:48:01.595074Z,2024-05-11T18:48:02.117020Z,533.28 ms,521.945701 ms,549.7148355888888 ms,489.662985 ms,726.288911 ms,90
2024-05-11T18:48:06.319543Z,2024-05-11T18:48:06.330459Z,2024-05-11T18:48:06.833272Z,513.729 ms,502.812912 ms,549.1994298351648 ms,489.662985 ms,726.288911 ms,91
2024-05-11T18:48:10.839238Z,2024-05-11T18:48:10.850081Z,2024-05-11T18:48:11.388912Z,549.674 ms,538.830592 ms,549.086725076087 ms,489.662985 ms,726.288911 ms,92
2024-05-11T18:48:15.659292Z,2024-05-11T18:48:15.671605Z,2024-05-11T18:48:16.239785Z,580.493 ms,568.179558 ms,549.2920243548388 ms,489.662985 ms,726.288911 ms,93
2024-05-11T18:48:20.267492Z,2024-05-11T18:48:20.278440Z,2024-05-11T18:48:20.776738Z,509.246 ms,498.298293 ms,548.7495378510638 ms,489.662985 ms,726.288911 ms,94
2024-05-11T18:48:25.715817Z,2024-05-11T18:48:25.726767Z,2024-05-11T18:48:26.243830Z,528.0129999999999 ms,517.044349 ms,548.4157990210526 ms,489.662985 ms,726.288911 ms,95
