observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-06-01 07:54:33.056Z,2024-06-01T07:54:33.071992Z,2024-06-01T07:54:33.072091Z,51.001999999999995 ms,0.101 ms,0.101 ms,0.101 ms,0.101 ms,1
2024-06-01 07:54:33.064Z,2024-06-01T07:54:33.109805Z,2024-06-01T07:54:33.109874Z,57.164 ms,0.069461 ms,0.0852305 ms,0.069461 ms,0.101 ms,2
2024-06-01 07:54:33.071Z,2024-06-01T07:54:33.121564Z,2024-06-01T07:54:33.121623Z,60.725 ms,0.059708 ms,0.076723 ms,0.059708 ms,0.101 ms,3
2024-06-01 07:54:33.073Z,2024-06-01T07:54:33.132192Z,2024-06-01T07:54:33.132305Z,69.37400000000001 ms,0.113358 ms,0.08588175 ms,0.059708 ms,0.113358 ms,4
2024-06-01 07:54:33.075Z,2024-06-01T07:54:33.142845Z,2024-06-01T07:54:33.142927Z,78.17 ms,0.082162 ms,0.0851378 ms,0.059708 ms,0.113358 ms,5
2024-06-01 07:54:33.077Z,2024-06-01T07:54:33.153562Z,2024-06-01T07:54:33.153619Z,87.02 ms,0.057541 ms,0.08053833333333332 ms,0.057541 ms,0.113358 ms,6
2024-06-01 07:54:33.078Z,2024-06-01T07:54:33.164545Z,2024-06-01T07:54:33.164602Z,96.971 ms,0.057203 ms,0.0772047142857143 ms,0.057203 ms,0.113358 ms,7
2024-06-01 07:54:33.080Z,2024-06-01T07:54:33.175389Z,2024-06-01T07:54:33.175465Z,105.601 ms,0.076095 ms,0.077066 ms,0.057203 ms,0.113358 ms,8
2024-06-01 07:54:33.082Z,2024-06-01T07:54:33.186119Z,2024-06-01T07:54:33.186176Z,114.81099999999999 ms,0.057684 ms,0.07491244444444443 ms,0.057203 ms,0.113358 ms,9
2024-06-01 07:54:33.084Z,2024-06-01T07:54:33.197196Z,2024-06-01T07:54:33.197254Z,123.753 ms,0.057938 ms,0.073215 ms,0.057203 ms,0.113358 ms,10
2024-06-01 07:54:33.085Z,2024-06-01T07:54:33.208197Z,2024-06-01T07:54:33.208256Z,133.63 ms,0.058626 ms,0.07188872727272728 ms,0.057203 ms,0.113358 ms,11
2024-06-01 07:54:33.087Z,2024-06-01T07:54:33.219088Z,2024-06-01T07:54:33.219182Z,142.394 ms,0.093842 ms,0.07371816666666667 ms,0.057203 ms,0.113358 ms,12
2024-06-01 07:54:33.089Z,2024-06-01T07:54:33.229778Z,2024-06-01T07:54:33.229835Z,150.287 ms,0.057782 ms,0.07249230769230769 ms,0.057203 ms,0.113358 ms,13
2024-06-01 07:54:33.091Z,2024-06-01T07:54:33.239688Z,2024-06-01T07:54:33.239746Z,158.73000000000002 ms,0.058151 ms,0.07146792857142857 ms,0.057203 ms,0.113358 ms,14
2024-06-01 07:54:33.093Z,2024-06-01T07:54:33.250119Z,2024-06-01T07:54:33.250194Z,167.316 ms,0.075471 ms,0.0717348 ms,0.057203 ms,0.113358 ms,15
2024-06-01 07:54:33.095Z,2024-06-01T07:54:33.260757Z,2024-06-01T07:54:33.260851Z,176.00199999999998 ms,0.094052 ms,0.073129625 ms,0.057203 ms,0.113358 ms,16
2024-06-01 07:54:33.097Z,2024-06-01T07:54:33.271414Z,2024-06-01T07:54:33.271471Z,184.782 ms,0.057277 ms,0.07219711764705883 ms,0.057203 ms,0.113358 ms,17
2024-06-01 07:54:33.098Z,2024-06-01T07:54:33.282175Z,2024-06-01T07:54:33.282236Z,193.87099999999998 ms,0.060564 ms,0.07155083333333333 ms,0.057203 ms,0.113358 ms,18
2024-06-01 07:54:33.100Z,2024-06-01T07:54:33.292263Z,2024-06-01T07:54:33.292343Z,201.75199999999998 ms,0.079971 ms,0.071994 ms,0.057203 ms,0.113358 ms,19
2024-06-01 07:54:33.102Z,2024-06-01T07:54:33.302145Z,2024-06-01T07:54:33.302203Z,210.012 ms,0.058385 ms,0.07131355 ms,0.057203 ms,0.113358 ms,20
2024-06-01 07:54:38.020Z,2024-06-01T07:54:38.029665Z,2024-06-01T07:54:38.029760Z,22.59 ms,0.095822 ms,0.07248061904761906 ms,0.057203 ms,0.113358 ms,21
2024-06-01 07:54:38.027Z,2024-06-01T07:54:38.044628Z,2024-06-01T07:54:38.044707Z,30.5 ms,0.080325 ms,0.07283718181818183 ms,0.057203 ms,0.113358 ms,22
2024-06-01 07:54:38.031Z,2024-06-01T07:54:38.057998Z,2024-06-01T07:54:38.058071Z,38.628 ms,0.073165 ms,0.07285143478260869 ms,0.057203 ms,0.113358 ms,23
2024-06-01 07:54:38.033Z,2024-06-01T07:54:38.070100Z,2024-06-01T07:54:38.070168Z,48.658 ms,0.068825 ms,0.07268366666666667 ms,0.057203 ms,0.113358 ms,24
2024-06-01 07:54:38.034Z,2024-06-01T07:54:38.082099Z,2024-06-01T07:54:38.082165Z,59.521 ms,0.06572 ms,0.07240511999999999 ms,0.057203 ms,0.113358 ms,25
2024-06-01 07:54:38.036Z,2024-06-01T07:54:38.093976Z,2024-06-01T07:54:38.094043Z,69.282 ms,0.067482 ms,0.07221576923076924 ms,0.057203 ms,0.113358 ms,26
2024-06-01 07:54:38.037Z,2024-06-01T07:54:38.105739Z,2024-06-01T07:54:38.105807Z,80.31 ms,0.068025 ms,0.07206055555555556 ms,0.057203 ms,0.113358 ms,27
2024-06-01 07:54:38.039Z,2024-06-01T07:54:38.117754Z,2024-06-01T07:54:38.117820Z,90.186 ms,0.065471 ms,0.07182521428571428 ms,0.057203 ms,0.113358 ms,28
2024-06-01 07:54:38.040Z,2024-06-01T07:54:38.129641Z,2024-06-01T07:54:38.129708Z,101.134 ms,0.067146 ms,0.07166386206896552 ms,0.057203 ms,0.113358 ms,29
2024-06-01 07:54:38.042Z,2024-06-01T07:54:38.143287Z,2024-06-01T07:54:38.143359Z,112.771 ms,0.0731 ms,0.07171173333333333 ms,0.057203 ms,0.113358 ms,30
2024-06-01 07:54:38.044Z,2024-06-01T07:54:38.155220Z,2024-06-01T07:54:38.155286Z,122.319 ms,0.066056 ms,0.07152929032258065 ms,0.057203 ms,0.113358 ms,31
2024-06-01 07:54:38.045Z,2024-06-01T07:54:38.166762Z,2024-06-01T07:54:38.166827Z,132.77700000000002 ms,0.065116 ms,0.071328875 ms,0.057203 ms,0.113358 ms,32
2024-06-01 07:54:38.047Z,2024-06-01T07:54:38.178215Z,2024-06-01T07:54:38.178280Z,142.508 ms,0.064424 ms,0.07111963636363637 ms,0.057203 ms,0.113358 ms,33
2024-06-01 07:54:38.049Z,2024-06-01T07:54:38.189951Z,2024-06-01T07:54:38.190016Z,152.478 ms,0.064936 ms,0.07093776470588235 ms,0.057203 ms,0.113358 ms,34
