observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-06-01 07:54:33.056Z,2024-06-01T07:54:33.071992Z,2024-06-01T07:54:33.107002Z,51.001999999999995 ms,35.011211 ms,35.011211 ms,35.011211 ms,35.011211 ms,1
2024-06-01 07:54:33.064Z,2024-06-01T07:54:33.109805Z,2024-06-01T07:54:33.121164Z,57.164 ms,11.358649 ms,23.18493 ms,11.358649 ms,35.011211 ms,2
2024-06-01 07:54:33.071Z,2024-06-01T07:54:33.121564Z,2024-06-01T07:54:33.131725Z,60.725 ms,10.160593 ms,18.843484333333333 ms,10.160593 ms,35.011211 ms,3
2024-06-01 07:54:33.073Z,2024-06-01T07:54:33.132192Z,2024-06-01T07:54:33.142374Z,69.37400000000001 ms,10.181388 ms,16.67796025 ms,10.160593 ms,35.011211 ms,4
2024-06-01 07:54:33.075Z,2024-06-01T07:54:33.142845Z,2024-06-01T07:54:33.153170Z,78.17 ms,10.32472 ms,15.4073122 ms,10.160593 ms,35.011211 ms,5
2024-06-01 07:54:33.077Z,2024-06-01T07:54:33.153562Z,2024-06-01T07:54:33.164020Z,87.02 ms,10.457467 ms,14.582338 ms,10.160593 ms,35.011211 ms,6
2024-06-01 07:54:33.078Z,2024-06-01T07:54:33.164545Z,2024-06-01T07:54:33.174971Z,96.971 ms,10.4259 ms,13.988561142857144 ms,10.160593 ms,35.011211 ms,7
2024-06-01 07:54:33.080Z,2024-06-01T07:54:33.175389Z,2024-06-01T07:54:33.185601Z,105.601 ms,10.192883 ms,13.514101375 ms,10.160593 ms,35.011211 ms,8
2024-06-01 07:54:33.082Z,2024-06-01T07:54:33.186119Z,2024-06-01T07:54:33.196811Z,114.81099999999999 ms,10.691716 ms,13.200503 ms,10.160593 ms,35.011211 ms,9
2024-06-01 07:54:33.084Z,2024-06-01T07:54:33.197196Z,2024-06-01T07:54:33.207753Z,123.753 ms,10.556434 ms,12.9360961 ms,10.160593 ms,35.011211 ms,10
2024-06-01 07:54:33.085Z,2024-06-01T07:54:33.208197Z,2024-06-01T07:54:33.218630Z,133.63 ms,10.432048 ms,12.708455363636363 ms,10.160593 ms,35.011211 ms,11
2024-06-01 07:54:33.087Z,2024-06-01T07:54:33.219088Z,2024-06-01T07:54:33.229394Z,142.394 ms,10.305136 ms,12.50817875 ms,10.160593 ms,35.011211 ms,12
2024-06-01 07:54:33.089Z,2024-06-01T07:54:33.229778Z,2024-06-01T07:54:33.239287Z,150.287 ms,9.50859 ms,12.277441153846153 ms,9.50859 ms,35.011211 ms,13
