observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-05-11T13:53:07.377Z,2024-05-11T13:53:07.382782Z,2024-05-11T13:53:07.382949Z,39.75,0.16904,0.16904,0.16904,0.16904,1
2024-05-11T13:53:07.382Z,2024-05-11T13:53:07.419947Z,2024-05-11T13:53:07.420112Z,63.584,0.166599,0.1678195,0.166599,0.16904,2
2024-05-11T13:53:07.384Z,2024-05-11T13:53:07.446151Z,2024-05-11T13:53:07.446284Z,86.592,0.132439,0.156026,0.132439,0.16904,3
2024-05-11T13:53:07.386Z,2024-05-11T13:53:07.471083Z,2024-05-11T13:53:07.471210Z,108.307,0.126589,0.14866675,0.126589,0.16904,4
2024-05-11T13:53:07.390Z,2024-05-11T13:53:07.494846Z,2024-05-11T13:53:07.494973Z,127.75200000000001,0.127287,0.14439079999999999,0.126589,0.16904,5
2024-05-11T13:53:07.392Z,2024-05-11T13:53:07.518255Z,2024-05-11T13:53:07.518383Z,150.72299999999998,0.127583,0.1415895,0.126589,0.16904,6
2024-05-11T13:53:07.394Z,2024-05-11T13:53:07.543248Z,2024-05-11T13:53:07.543410Z,174.30499999999998,0.162615,0.14459314285714286,0.126589,0.16904,7
2024-05-11T13:53:07.397Z,2024-05-11T13:53:07.568824Z,2024-05-11T13:53:07.568956Z,183.938,0.131582,0.14296675,0.126589,0.16904,8
2024-05-11T13:53:07.400Z,2024-05-11T13:53:07.581418Z,2024-05-11T13:53:07.581550Z,192.36700000000002,0.131883,0.1417352222222222,0.126589,0.16904,9
2024-05-11T13:53:07.402Z,2024-05-11T13:53:07.592839Z,2024-05-11T13:53:07.592968Z,203.069,0.128683,0.14043,0.126589,0.16904,10
2024-05-11T13:53:07.404Z,2024-05-11T13:53:07.605789Z,2024-05-11T13:53:07.605925Z,211.323,0.135474,0.13997945454545455,0.126589,0.16904,11
2024-05-11T13:53:07.406Z,2024-05-11T13:53:07.615834Z,2024-05-11T13:53:07.615966Z,221.686,0.131392,0.13926383333333334,0.126589,0.16904,12
2024-05-11T13:53:07.408Z,2024-05-11T13:53:07.628163Z,2024-05-11T13:53:07.628292Z,230.396,0.128728,0.13845338461538462,0.126589,0.16904,13
2024-05-11T13:53:07.410Z,2024-05-11T13:53:07.638892Z,2024-05-11T13:53:07.639025Z,237.209,0.132067,0.1379972142857143,0.126589,0.16904,14
2024-05-11T13:53:07.412Z,2024-05-11T13:53:07.647784Z,2024-05-11T13:53:07.647912Z,243.946,0.127884,0.137323,0.126589,0.16904,15
2024-05-11T13:53:07.414Z,2024-05-11T13:53:07.656485Z,2024-05-11T13:53:07.656614Z,250.354,0.129036,0.1368050625,0.126589,0.16904,16
2024-05-11T13:53:07.417Z,2024-05-11T13:53:07.666593Z,2024-05-11T13:53:07.666779Z,257.681,0.187178,0.13976817647058823,0.126589,0.187178,17
2024-05-11T13:53:07.419Z,2024-05-11T13:53:07.675242Z,2024-05-11T13:53:07.675398Z,264.387,0.156452,0.14069505555555556,0.126589,0.187178,18
2024-05-11T13:53:07.421Z,2024-05-11T13:53:07.683911Z,2024-05-11T13:53:07.684041Z,271.088,0.129761,0.14011957894736843,0.126589,0.187178,19
2024-05-11T13:53:07.423Z,2024-05-11T13:53:07.692611Z,2024-05-11T13:53:07.692742Z,277.45399999999995,0.131133,0.13967025,0.126589,0.187178,20
2024-05-11T13:53:07.426Z,2024-05-11T13:53:07.701001Z,2024-05-11T13:53:07.701146Z,283.091,0.144721,0.1399107619047619,0.126589,0.187178,21
2024-05-11T13:53:07.428Z,2024-05-11T13:53:07.709562Z,2024-05-11T13:53:07.709693Z,289.98,0.131652,0.13953536363636365,0.126589,0.187178,22
2024-05-11T13:53:07.430Z,2024-05-11T13:53:07.718474Z,2024-05-11T13:53:07.718613Z,297.147,0.138771,0.13950213043478263,0.126589,0.187178,23
2024-05-11T13:53:07.431Z,2024-05-11T13:53:07.727663Z,2024-05-11T13:53:07.727791Z,304.924,0.128593,0.13904758333333334,0.126589,0.187178,24
2024-05-11T13:53:12.531Z,2024-05-11T13:53:12.534614Z,2024-05-11T13:53:12.534791Z,20.878,0.178513,0.1406262,0.126589,0.187178,25
2024-05-11T13:53:12.533Z,2024-05-11T13:53:12.554214Z,2024-05-11T13:53:12.554364Z,35.51,0.151285,0.14103615384615384,0.126589,0.187178,26
2024-05-11T13:53:12.535Z,2024-05-11T13:53:12.569008Z,2024-05-11T13:53:12.569143Z,51.004,0.13508,0.14081555555555555,0.126589,0.187178,27
2024-05-11T13:53:12.537Z,2024-05-11T13:53:12.586931Z,2024-05-11T13:53:12.587094Z,59.226,0.164031,0.14164467857142857,0.126589,0.187178,28
2024-05-11T13:53:12.540Z,2024-05-11T13:53:12.596747Z,2024-05-11T13:53:12.596879Z,65.246,0.131785,0.1413046896551724,0.126589,0.187178,29
2024-05-11T13:53:12.542Z,2024-05-11T13:53:12.605732Z,2024-05-11T13:53:12.605868Z,75.497,0.135992,0.14112760000000002,0.126589,0.187178,30
2024-05-11T13:53:12.544Z,2024-05-11T13:53:12.618256Z,2024-05-11T13:53:12.618397Z,84.544,0.141562,0.14114161290322583,0.126589,0.187178,31
2024-05-11T13:53:12.546Z,2024-05-11T13:53:12.629083Z,2024-05-11T13:53:12.629224Z,97.402,0.139893,0.14110259375,0.126589,0.187178,32
2024-05-11T13:53:12.548Z,2024-05-11T13:53:12.643921Z,2024-05-11T13:53:12.644063Z,109.863,0.14248,0.14114433333333334,0.126589,0.187178,33
2024-05-11T13:53:12.550Z,2024-05-11T13:53:12.658344Z,2024-05-11T13:53:12.658477Z,117.194,0.133406,0.14091673529411766,0.126589,0.187178,34
2024-05-11T13:53:12.553Z,2024-05-11T13:53:12.669644Z,2024-05-11T13:53:12.669799Z,132.28599999999997,0.156692,0.14136745714285714,0.126589,0.187178,35
2024-05-11T13:53:12.556Z,2024-05-11T13:53:12.685791Z,2024-05-11T13:53:12.685922Z,139.06799999999998,0.131328,0.14108858333333335,0.126589,0.187178,36
2024-05-11T13:53:12.558Z,2024-05-11T13:53:12.695600Z,2024-05-11T13:53:12.695734Z,146.214,0.133847,0.14089286486486485,0.126589,0.187178,37
2024-05-11T13:53:12.561Z,2024-05-11T13:53:12.704875Z,2024-05-11T13:53:12.705014Z,152.469,0.13876,0.14083673684210526,0.126589,0.187178,38
2024-05-11T13:53:12.563Z,2024-05-11T13:53:12.714027Z,2024-05-11T13:53:12.714158Z,162.779,0.130399,0.14056910256410257,0.126589,0.187178,39
2024-05-11T13:53:12.565Z,2024-05-11T13:53:12.726359Z,2024-05-11T13:53:12.726509Z,170.163,0.150211,0.14081015,0.126589,0.187178,40
2024-05-11T13:53:12.568Z,2024-05-11T13:53:12.735713Z,2024-05-11T13:53:12.735884Z,177.198,0.170916,0.14154443902439023,0.126589,0.187178,41
2024-05-11T13:53:12.570Z,2024-05-11T13:53:12.745932Z,2024-05-11T13:53:12.746123Z,188.31300000000002,0.191027,0.14272259523809525,0.126589,0.191027,42
2024-05-11T13:53:12.572Z,2024-05-11T13:53:12.758982Z,2024-05-11T13:53:12.759128Z,195.80800000000002,0.145339,0.14278344186046513,0.126589,0.191027,43
2024-05-11T13:53:12.574Z,2024-05-11T13:53:12.768351Z,2024-05-11T13:53:12.768487Z,204.042,0.135844,0.14262572727272727,0.126589,0.191027,44
2024-05-11T13:53:12.577Z,2024-05-11T13:53:12.778628Z,2024-05-11T13:53:12.778765Z,216.872,0.136579,0.14249135555555556,0.126589,0.191027,45
2024-05-11T13:53:12.579Z,2024-05-11T13:53:12.794376Z,2024-05-11T13:53:12.794507Z,224.512,0.13133,0.14224871739130435,0.126589,0.191027,46
2024-05-11T13:53:12.581Z,2024-05-11T13:53:12.804080Z,2024-05-11T13:53:12.804217Z,231.757,0.136658,0.1421297659574468,0.126589,0.191027,47
2024-05-11T13:53:12.583Z,2024-05-11T13:53:12.813664Z,2024-05-11T13:53:12.813832Z,240.975,0.168816,0.14268572916666666,0.126589,0.191027,48
2024-05-11T13:53:17.940Z,2024-05-11T13:53:17.943064Z,2024-05-11T13:53:17.943229Z,20.603,0.166861,0.14317910204081633,0.126589,0.191027,49
2024-05-11T13:53:17.942Z,2024-05-11T13:53:17.963556Z,2024-05-11T13:53:17.963726Z,30.752000000000002,0.170861,0.14373274,0.126589,0.191027,50
2024-05-11T13:53:17.944Z,2024-05-11T13:53:17.973263Z,2024-05-11T13:53:17.973405Z,38.757,0.142112,0.14370096078431374,0.126589,0.191027,51
2024-05-11T13:53:17.946Z,2024-05-11T13:53:17.983246Z,2024-05-11T13:53:17.983396Z,46.251,0.150117,0.14382434615384615,0.126589,0.191027,52
2024-05-11T13:53:17.949Z,2024-05-11T13:53:17.992775Z,2024-05-11T13:53:17.992913Z,53.612,0.137941,0.14371333962264152,0.126589,0.191027,53
2024-05-11T13:53:17.951Z,2024-05-11T13:53:18.003169Z,2024-05-11T13:53:18.003317Z,60.664,0.148201,0.14379644444444445,0.126589,0.191027,54
2024-05-11T13:53:17.953Z,2024-05-11T13:53:18.012206Z,2024-05-11T13:53:18.012340Z,67.471,0.134331,0.14362434545454547,0.126589,0.191027,55
2024-05-11T13:53:17.954Z,2024-05-11T13:53:18.020950Z,2024-05-11T13:53:18.021083Z,77.094,0.132803,0.14343110714285712,0.126589,0.191027,56
2024-05-11T13:53:17.956Z,2024-05-11T13:53:18.031597Z,2024-05-11T13:53:18.031734Z,84.694,0.137089,0.14331984210526313,0.126589,0.191027,57
2024-05-11T13:53:17.958Z,2024-05-11T13:53:18.041178Z,2024-05-11T13:53:18.041312Z,94.186,0.133904,0.1431575,0.126589,0.191027,58
2024-05-11T13:53:17.960Z,2024-05-11T13:53:18.052673Z,2024-05-11T13:53:18.052805Z,100.867,0.131739,0.1429639661016949,0.126589,0.191027,59
2024-05-11T13:53:17.962Z,2024-05-11T13:53:18.063504Z,2024-05-11T13:53:18.063714Z,111.21000000000001,0.211722,0.14410993333333333,0.126589,0.211722,60
2024-05-11T13:53:17.964Z,2024-05-11T13:53:18.073760Z,2024-05-11T13:53:18.073894Z,119.51599999999999,0.13343,0.1439348524590164,0.126589,0.211722,61
2024-05-11T13:53:17.967Z,2024-05-11T13:53:18.084015Z,2024-05-11T13:53:18.084149Z,124.99499999999999,0.134367,0.1437805322580645,0.126589,0.211722,62
2024-05-11T13:53:17.969Z,2024-05-11T13:53:18.092495Z,2024-05-11T13:53:18.092632Z,137.786,0.136989,0.14367273015873014,0.126589,0.211722,63
2024-05-11T13:53:17.971Z,2024-05-11T13:53:18.107311Z,2024-05-11T13:53:18.107448Z,147.407,0.137446,0.1435754375,0.126589,0.211722,64
2024-05-11T13:53:17.974Z,2024-05-11T13:53:18.119061Z,2024-05-11T13:53:18.119194Z,153.576,0.132804,0.14340972307692307,0.126589,0.211722,65
