observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-06-02T09:34:06.676674Z,2024-06-02T09:34:06.691589Z,2024-06-02T09:34:06.693307Z,120.88799999999999,1.720237,1.720237,1.720237,1.720237,1
2024-06-02T09:34:11.766853Z,2024-06-02T09:34:11.778789Z,2024-06-02T09:34:11.779828Z,112.955,1.039276,1.3797565,1.039276,1.720237,2
2024-06-02T09:34:16.600792Z,2024-06-02T09:34:16.612783Z,2024-06-02T09:34:16.613820Z,120.556,1.037632,1.265715,1.037632,1.720237,3
2024-06-02T09:34:21.197480Z,2024-06-02T09:34:21.209717Z,2024-06-02T09:34:21.210760Z,113.858,1.04454,1.21042125,1.037632,1.720237,4
2024-06-02T09:34:26.030460Z,2024-06-02T09:34:26.042194Z,2024-06-02T09:34:26.043187Z,110.86999999999999,0.994602,1.1672574,0.994602,1.720237,5
2024-06-02T09:34:30.792187Z,2024-06-02T09:34:30.804098Z,2024-06-02T09:34:30.805177Z,109.42399999999999,1.080277,1.1527606666666668,0.994602,1.720237,6
2024-06-02T09:34:35.360737Z,2024-06-02T09:34:35.372212Z,2024-06-02T09:34:35.373232Z,101.26899999999999,1.022043,1.1340867142857143,0.994602,1.720237,7
2024-06-02T09:34:40.055130Z,2024-06-02T09:34:40.059987Z,2024-06-02T09:34:40.061041Z,90.89800000000001,1.054638,1.124155625,0.994602,1.720237,8
2024-06-02T09:34:44.748564Z,2024-06-02T09:34:44.770807Z,2024-06-02T09:34:44.775999Z,150.805,5.194577,1.5764246666666668,0.994602,5.194577,9
2024-06-02T09:34:49.901662Z,2024-06-02T09:34:49.913385Z,2024-06-02T09:34:49.914434Z,101.898,1.050044,1.5237866,0.994602,5.194577,10
2024-06-02T09:34:55.012504Z,2024-06-02T09:34:55.024103Z,2024-06-02T09:34:55.025183Z,98.39399999999999,1.080924,1.4835263636363636,0.994602,5.194577,11
2024-06-02T09:35:00.133746Z,2024-06-02T09:35:00.145023Z,2024-06-02T09:35:00.146010Z,99.745,0.98809,1.44224,0.98809,5.194577,12
2024-06-02T09:35:05.124671Z,2024-06-02T09:35:05.136093Z,2024-06-02T09:35:05.137090Z,93.53,0.999264,1.408164923076923,0.98809,5.194577,13
2024-06-02T09:35:10.235296Z,2024-06-02T09:35:10.247307Z,2024-06-02T09:35:10.248314Z,93.481,1.008619,1.3796259285714287,0.98809,5.194577,14
2024-06-02T09:35:15.390467Z,2024-06-02T09:35:15.401995Z,2024-06-02T09:35:15.403003Z,95.858,1.009191,1.3549302666666665,0.98809,5.194577,15
2024-06-02T09:35:20.168536Z,2024-06-02T09:35:20.176416Z,2024-06-02T09:35:20.178463Z,132.09099999999998,2.049031,1.3983115625,0.98809,5.194577,16
2024-06-02T09:35:24.814587Z,2024-06-02T09:35:24.826421Z,2024-06-02T09:35:24.827421Z,89.688,1.001561,1.374973294117647,0.98809,5.194577,17
2024-06-02T09:35:29.643325Z,2024-06-02T09:35:29.654865Z,2024-06-02T09:35:29.655916Z,96.68400000000001,1.052414,1.3570533333333332,0.98809,5.194577,18
2024-06-02T09:35:34.296677Z,2024-06-02T09:35:34.307895Z,2024-06-02T09:35:34.308923Z,97.53699999999999,1.028804,1.3397770526315789,0.98809,5.194577,19
2024-06-02T09:35:39.334226Z,2024-06-02T09:35:39.345942Z,2024-06-02T09:35:39.346931Z,97.383,0.991358,1.3223561000000001,0.98809,5.194577,20
2024-06-02T09:35:44.540670Z,2024-06-02T09:35:44.552000Z,2024-06-02T09:35:44.553066Z,96.481,1.067783,1.3102335714285713,0.98809,5.194577,21
2024-06-02T09:35:49.900772Z,2024-06-02T09:35:49.911808Z,2024-06-02T09:35:49.912790Z,88.91799999999999,0.983827,1.2953969090909092,0.983827,5.194577,22
2024-06-02T09:35:54.438304Z,2024-06-02T09:35:54.450001Z,2024-06-02T09:35:54.451014Z,89.113,1.014588,1.2831878260869565,0.983827,5.194577,23
2024-06-02T09:35:59.668666Z,2024-06-02T09:35:59.679978Z,2024-06-02T09:35:59.681031Z,114.142,1.054924,1.2736768333333333,0.983827,5.194577,24
2024-06-02T09:36:04.844507Z,2024-06-02T09:36:04.849909Z,2024-06-02T09:36:04.851215Z,79.761,1.307786,1.2750412,0.983827,5.194577,25
2024-06-02T09:36:10.000502Z,2024-06-02T09:36:10.005595Z,2024-06-02T09:36:10.006660Z,81.706,1.067012,1.267040076923077,0.983827,5.194577,26
2024-06-02T09:36:14.644714Z,2024-06-02T09:36:14.649285Z,2024-06-02T09:36:14.650318Z,86.742,1.035028,1.258447037037037,0.983827,5.194577,27
2024-06-02T09:36:19.762527Z,2024-06-02T09:36:19.773484Z,2024-06-02T09:36:19.774435Z,89.836,0.952555,1.2475223214285713,0.952555,5.194577,28
2024-06-02T09:36:24.401326Z,2024-06-02T09:36:24.412648Z,2024-06-02T09:36:24.413664Z,81.236,1.017221,1.239580896551724,0.952555,5.194577,29
2024-06-02T09:36:29.452141Z,2024-06-02T09:36:29.456604Z,2024-06-02T09:36:29.457614Z,85.54299999999999,1.011471,1.2319772333333334,0.952555,5.194577,30
2024-06-02T09:36:34.191953Z,2024-06-02T09:36:34.203692Z,2024-06-02T09:36:34.204777Z,138.47799999999998,1.086266,1.2272768709677417,0.952555,5.194577,31
2024-06-02T09:36:38.716553Z,2024-06-02T09:36:38.737378Z,2024-06-02T09:36:38.742584Z,141.541,5.209407,1.3517184375,0.952555,5.209407,32
2024-06-02T09:36:44.111977Z,2024-06-02T09:36:44.123568Z,2024-06-02T09:36:44.124659Z,88.58099999999999,1.091771,1.3438412424242425,0.952555,5.209407,33
2024-06-02T09:36:49.406257Z,2024-06-02T09:36:49.417591Z,2024-06-02T09:36:49.418591Z,90.212,1.001619,1.3337758823529413,0.952555,5.209407,34
2024-06-02T09:36:54.053372Z,2024-06-02T09:36:54.064759Z,2024-06-02T09:36:54.065779Z,79.485,1.021694,1.3248592571428572,0.952555,5.209407,35
2024-06-02T09:36:59.396117Z,2024-06-02T09:36:59.407590Z,2024-06-02T09:36:59.408630Z,91.037,1.041736,1.3169947222222222,0.952555,5.209407,36
2024-06-02T09:37:04.307105Z,2024-06-02T09:37:04.318439Z,2024-06-02T09:37:04.319453Z,91.329,1.015304,1.3088409189189187,0.952555,5.209407,37
2024-06-02T09:37:09.136490Z,2024-06-02T09:37:09.140774Z,2024-06-02T09:37:09.141807Z,78.764,1.034057,1.301609763157895,0.952555,5.209407,38
2024-06-02T09:37:13.692489Z,2024-06-02T09:37:13.697538Z,2024-06-02T09:37:13.699145Z,89.98100000000001,1.608366,1.3094753076923078,0.952555,5.209407,39
2024-06-02T09:37:18.601480Z,2024-06-02T09:37:18.612574Z,2024-06-02T09:37:18.613569Z,88.11099999999999,0.995844,1.3016345249999999,0.952555,5.209407,40
2024-06-02T09:37:23.276679Z,2024-06-02T09:37:23.287889Z,2024-06-02T09:37:23.288973Z,84.836,1.084456,1.2963374878048781,0.952555,5.209407,41
2024-06-02T09:37:28.370252Z,2024-06-02T09:37:28.375002Z,2024-06-02T09:37:28.376084Z,82.24900000000001,1.082623,1.2912490476190477,0.952555,5.209407,42
2024-06-02T09:37:33.402429Z,2024-06-02T09:37:33.413664Z,2024-06-02T09:37:33.414678Z,81.13,1.015322,1.2848321395348836,0.952555,5.209407,43
2024-06-02T09:37:38.484642Z,2024-06-02T09:37:38.495596Z,2024-06-02T09:37:38.496605Z,80.175,1.010466,1.2785965454545454,0.952555,5.209407,44
2024-06-02T09:37:43.477256Z,2024-06-02T09:37:43.488764Z,2024-06-02T09:37:43.489771Z,84.202,1.008283,1.2725895777777778,0.952555,5.209407,45
2024-06-02T09:37:48.675021Z,2024-06-02T09:37:48.696920Z,2024-06-02T09:37:48.700206Z,94.601,3.292038,1.3164906304347828,0.952555,5.209407,46
2024-06-02T09:37:53.262436Z,2024-06-02T09:37:53.273771Z,2024-06-02T09:37:53.274806Z,84.252,1.036302,1.310529170212766,0.952555,5.209407,47
2024-06-02T09:37:58.208341Z,2024-06-02T09:37:58.219473Z,2024-06-02T09:37:58.220552Z,81.372,1.079492,1.3057158958333333,0.952555,5.209407,48
2024-06-02T09:38:03.450942Z,2024-06-02T09:38:03.462311Z,2024-06-02T09:38:03.463339Z,81.28699999999999,1.028825,1.3000650612244897,0.952555,5.209407,49
2024-06-02T09:38:08.000115Z,2024-06-02T09:38:08.009314Z,2024-06-02T09:38:08.010358Z,82.88900000000001,1.04555,1.2949747600000001,0.952555,5.209407,50
2024-06-02T09:38:12.981144Z,2024-06-02T09:38:12.992415Z,2024-06-02T09:38:12.993511Z,81.58999999999999,1.097046,1.2910938039215687,0.952555,5.209407,51
2024-06-02T09:38:18.428784Z,2024-06-02T09:38:18.440364Z,2024-06-02T09:38:18.441367Z,111.339,1.004129,1.28557525,0.952555,5.209407,52
2024-06-02T09:38:23.258340Z,2024-06-02T09:38:23.269315Z,2024-06-02T09:38:23.270386Z,83.744,1.071656,1.281539037735849,0.952555,5.209407,53
2024-06-02T09:38:27.854505Z,2024-06-02T09:38:27.865510Z,2024-06-02T09:38:27.866498Z,87.062,0.98914,1.2761242407407407,0.952555,5.209407,54
2024-06-02T09:38:32.509285Z,2024-06-02T09:38:32.520276Z,2024-06-02T09:38:32.521276Z,88.01299999999999,1.001436,1.2711299090909092,0.952555,5.209407,55
2024-06-02T09:38:37.088692Z,2024-06-02T09:38:37.093030Z,2024-06-02T09:38:37.094017Z,77.675,0.988286,1.266079125,0.952555,5.209407,56
2024-06-02T09:38:41.920563Z,2024-06-02T09:38:41.925585Z,2024-06-02T09:38:41.926819Z,84.908,1.235501,1.2655426666666667,0.952555,5.209407,57
