observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-05-11T18:40:34.011306Z,2024-05-11T18:40:34.037965Z,2024-05-11T18:40:34.042499Z,752.947,4.535566,4.535566,4.535566,4.535566,1
2024-05-11T18:40:39.452229Z,2024-05-11T18:40:39.464764Z,2024-05-11T18:40:39.468310Z,671.496,3.547062,4.041314,3.547062,4.535566,2
2024-05-11T18:40:44.930566Z,2024-05-11T18:40:44.942627Z,2024-05-11T18:40:44.946192Z,632.656,3.567089,3.883239,3.547062,4.535566,3
2024-05-11T18:40:49.887978Z,2024-05-11T18:40:49.900002Z,2024-05-11T18:40:49.903607Z,621.691,3.606716,3.81410825,3.547062,4.535566,4
2024-05-11T18:40:54.608054Z,2024-05-11T18:40:54.619851Z,2024-05-11T18:40:54.623373Z,604.0400000000001,3.52301,3.7558886,3.52301,4.535566,5
2024-05-11T18:40:59.480751Z,2024-05-11T18:40:59.492399Z,2024-05-11T18:40:59.496199Z,589.865,3.80146,3.7634838333333334,3.52301,4.535566,6
2024-05-11T18:41:04.967126Z,2024-05-11T18:41:04.978832Z,2024-05-11T18:41:04.982499Z,589.514,3.668301,3.749886285714286,3.52301,4.535566,7
2024-05-11T18:41:10.479535Z,2024-05-11T18:41:10.491205Z,2024-05-11T18:41:10.494960Z,587.495,3.755473,3.750584625,3.52301,4.535566,8
2024-05-11T18:41:15.794460Z,2024-05-11T18:41:15.805991Z,2024-05-11T18:41:15.809636Z,585.102,3.646485,3.739018,3.52301,4.535566,9
2024-05-11T18:41:20.740471Z,2024-05-11T18:41:20.751949Z,2024-05-11T18:41:20.755608Z,568.183,3.659981,3.7311142999999998,3.52301,4.535566,10
2024-05-11T18:41:26.007536Z,2024-05-11T18:41:26.019069Z,2024-05-11T18:41:26.022638Z,571.225,3.569405,3.716413454545455,3.52301,4.535566,11
2024-05-11T18:41:31.135550Z,2024-05-11T18:41:31.146842Z,2024-05-11T18:41:31.150574Z,582.37,3.733449,3.7178330833333333,3.52301,4.535566,12
2024-05-11T18:41:36.139785Z,2024-05-11T18:41:36.151515Z,2024-05-11T18:41:36.155130Z,573.4110000000001,3.615953,3.709996153846154,3.52301,4.535566,13
2024-05-11T18:41:41.444121Z,2024-05-11T18:41:41.455635Z,2024-05-11T18:41:41.459185Z,567.961,3.551005,3.6986396428571426,3.52301,4.535566,14
2024-05-11T18:41:46.019445Z,2024-05-11T18:41:46.030815Z,2024-05-11T18:41:46.034589Z,574.1690000000001,3.774248,3.7036802,3.52301,4.535566,15
2024-05-11T18:41:51.223788Z,2024-05-11T18:41:51.235289Z,2024-05-11T18:41:51.238920Z,570.583,3.631943,3.699196625,3.52301,4.535566,16
2024-05-11T18:41:56.259313Z,2024-05-11T18:41:56.271785Z,2024-05-11T18:41:56.275948Z,587.506,4.164146,3.726546588235294,3.52301,4.535566,17
2024-05-11T18:42:01.333691Z,2024-05-11T18:42:01.345426Z,2024-05-11T18:42:01.349072Z,565.385,3.646953,3.722124722222222,3.52301,4.535566,18
2024-05-11T18:42:06.323777Z,2024-05-11T18:42:06.335085Z,2024-05-11T18:42:06.338584Z,578.322,3.500059,3.710437052631579,3.500059,4.535566,19
2024-05-11T18:42:11.078707Z,2024-05-11T18:42:11.089967Z,2024-05-11T18:42:11.093663Z,560.631,3.697177,3.7097740499999996,3.500059,4.535566,20
2024-05-11T18:42:15.904317Z,2024-05-11T18:42:15.915693Z,2024-05-11T18:42:15.919268Z,550.0899999999999,3.576356,3.7034208095238097,3.500059,4.535566,21
2024-05-11T18:42:20.574080Z,2024-05-11T18:42:20.585407Z,2024-05-11T18:42:20.589033Z,570.176,3.627766,3.6999819545454544,3.500059,4.535566,22
2024-05-11T18:42:25.443586Z,2024-05-11T18:42:25.454872Z,2024-05-11T18:42:25.458440Z,542.913,3.568754,3.6942763913043475,3.500059,4.535566,23
2024-05-11T18:42:30.890936Z,2024-05-11T18:42:30.902494Z,2024-05-11T18:42:30.906272Z,554.8149999999999,3.779125,3.69781175,3.500059,4.535566,24
2024-05-11T18:42:35.459432Z,2024-05-11T18:42:35.470523Z,2024-05-11T18:42:35.474213Z,574.5980000000001,3.69098,3.69753848,3.500059,4.535566,25
2024-05-11T18:42:40.318485Z,2024-05-11T18:42:40.329757Z,2024-05-11T18:42:40.333369Z,583.992,3.613248,3.6942965384615385,3.500059,4.535566,26
2024-05-11T18:42:45.468771Z,2024-05-11T18:42:45.480183Z,2024-05-11T18:42:45.483829Z,559.856,3.64669,3.6925333333333334,3.500059,4.535566,27
2024-05-11T18:42:50.633845Z,2024-05-11T18:42:50.645638Z,2024-05-11T18:42:50.649480Z,558.213,3.843358,3.697919928571429,3.500059,4.535566,28
2024-05-11T18:42:55.413526Z,2024-05-11T18:42:55.424845Z,2024-05-11T18:42:55.428533Z,562.61,3.68993,3.6976444137931033,3.500059,4.535566,29
2024-05-11T18:43:00.460112Z,2024-05-11T18:43:00.471577Z,2024-05-11T18:43:00.475072Z,581.338,3.496121,3.690926966666667,3.496121,4.535566,30
2024-05-11T18:43:05.351199Z,2024-05-11T18:43:05.362814Z,2024-05-11T18:43:05.366387Z,551.624,3.573971,3.687154193548387,3.496121,4.535566,31
2024-05-11T18:43:10.427601Z,2024-05-11T18:43:10.438876Z,2024-05-11T18:43:10.442567Z,565.1890000000001,3.705034,3.6877129375,3.496121,4.535566,32
2024-05-11T18:43:14.947331Z,2024-05-11T18:43:14.958745Z,2024-05-11T18:43:14.962427Z,544.782,3.683079,3.687572515151515,3.496121,4.535566,33
2024-05-11T18:43:20.403523Z,2024-05-11T18:43:20.415103Z,2024-05-11T18:43:20.418775Z,554.904,3.67282,3.687138617647059,3.496121,4.535566,34
2024-05-11T18:43:25.684996Z,2024-05-11T18:43:25.696925Z,2024-05-11T18:43:25.700633Z,567.2420000000001,3.708802,3.6877575714285715,3.496121,4.535566,35
2024-05-11T18:43:30.859858Z,2024-05-11T18:43:30.871180Z,2024-05-11T18:43:30.874912Z,574.412,3.733563,3.6890299444444445,3.496121,4.535566,36
2024-05-11T18:43:35.943343Z,2024-05-11T18:43:35.954495Z,2024-05-11T18:43:35.958213Z,553.735,3.719287,3.6898477027027026,3.496121,4.535566,37
2024-05-11T18:43:41.001411Z,2024-05-11T18:43:41.012428Z,2024-05-11T18:43:41.016116Z,582.8299999999999,3.688369,3.689808789473684,3.496121,4.535566,38
2024-05-11T18:43:46.362032Z,2024-05-11T18:43:46.373252Z,2024-05-11T18:43:46.376925Z,534.3729999999999,3.674114,3.689406358974359,3.496121,4.535566,39
2024-05-11T18:43:51.031681Z,2024-05-11T18:43:51.042925Z,2024-05-11T18:43:51.046571Z,583.9,3.647139,3.688349675,3.496121,4.535566,40
2024-05-11T18:43:56.097264Z,2024-05-11T18:43:56.108995Z,2024-05-11T18:43:56.112660Z,536.26,3.666157,3.6878083902439025,3.496121,4.535566,41
2024-05-11T18:44:01.261536Z,2024-05-11T18:44:01.272722Z,2024-05-11T18:44:01.276414Z,554.5989999999999,3.692721,3.6879253571428574,3.496121,4.535566,42
2024-05-11T18:44:06.235525Z,2024-05-11T18:44:06.246526Z,2024-05-11T18:44:06.250227Z,551.1740000000001,3.702623,3.6882671627906976,3.496121,4.535566,43
2024-05-11T18:44:10.947160Z,2024-05-11T18:44:10.958293Z,2024-05-11T18:44:10.962137Z,548.889,3.844949,3.691828113636364,3.496121,4.535566,44
2024-05-11T18:44:16.382319Z,2024-05-11T18:44:16.393593Z,2024-05-11T18:44:16.397200Z,552.6659999999999,3.608335,3.689972711111111,3.496121,4.535566,45
2024-05-11T18:44:21.615346Z,2024-05-11T18:44:21.626910Z,2024-05-11T18:44:21.630790Z,564.5559999999999,3.880617,3.694117152173913,3.496121,4.535566,46
2024-05-11T18:44:26.642928Z,2024-05-11T18:44:26.654100Z,2024-05-11T18:44:26.657699Z,535.721,3.600286,3.6921207446808513,3.496121,4.535566,47
2024-05-11T18:44:31.257786Z,2024-05-11T18:44:31.268891Z,2024-05-11T18:44:31.272691Z,543.062,3.80173,3.6944042708333336,3.496121,4.535566,48
2024-05-11T18:44:36.512285Z,2024-05-11T18:44:36.523470Z,2024-05-11T18:44:36.527080Z,560.151,3.611229,3.6927068163265306,3.496121,4.535566,49
2024-05-11T18:44:41.344699Z,2024-05-11T18:44:41.355759Z,2024-05-11T18:44:41.359428Z,555.4019999999999,3.670253,3.69225774,3.496121,4.535566,50
2024-05-11T18:44:46.808363Z,2024-05-11T18:44:46.819575Z,2024-05-11T18:44:46.823163Z,553.794,3.58977,3.6902481764705883,3.496121,4.535566,51
2024-05-11T18:44:52.063978Z,2024-05-11T18:44:52.075216Z,2024-05-11T18:44:52.079122Z,551.508,3.906853,3.694413653846154,3.496121,4.535566,52
2024-05-11T18:44:56.815658Z,2024-05-11T18:44:56.826582Z,2024-05-11T18:44:56.830219Z,542.187,3.637611,3.6933419056603776,3.496121,4.535566,53
2024-05-11T18:45:01.659027Z,2024-05-11T18:45:01.670477Z,2024-05-11T18:45:01.674156Z,545.61,3.680092,3.6930965370370368,3.496121,4.535566,54
2024-05-11T18:45:06.703352Z,2024-05-11T18:45:06.714343Z,2024-05-11T18:45:06.718123Z,549.492,3.780813,3.6946913818181817,3.496121,4.535566,55
2024-05-11T18:45:12.148691Z,2024-05-11T18:45:12.159664Z,2024-05-11T18:45:12.163380Z,538.917,3.716595,3.6950825178571427,3.496121,4.535566,56
2024-05-11T18:45:17.609554Z,2024-05-11T18:45:17.620917Z,2024-05-11T18:45:17.624591Z,559.707,3.675739,3.6947431578947367,3.496121,4.535566,57
2024-05-11T18:45:23.015781Z,2024-05-11T18:45:23.028226Z,2024-05-11T18:45:23.032061Z,669.036,3.836079,3.697179982758621,3.496121,4.535566,58
2024-05-11T18:45:28.183321Z,2024-05-11T18:45:28.196247Z,2024-05-11T18:45:28.200321Z,575.2420000000001,4.075786,3.7035970338983053,3.496121,4.535566,59
2024-05-11T18:45:33.155588Z,2024-05-11T18:45:33.166617Z,2024-05-11T18:45:33.170345Z,574.3589999999999,3.742662,3.7042481166666668,3.496121,4.535566,60
2024-05-11T18:45:38.610263Z,2024-05-11T18:45:38.621383Z,2024-05-11T18:45:38.625048Z,558.366,3.666532,3.703629819672131,3.496121,4.535566,61
