observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-05-11T10:48:43.986Z,2024-05-11T10:48:43.992467Z,2024-05-11T10:48:44.027189Z,41.189,34.722414,34.722414,34.722414,34.722414,1
2024-05-11T10:48:43.991Z,2024-05-11T10:48:44.030081Z,2024-05-11T10:48:44.055243Z,64.243,25.161189,29.9418015,25.161189,34.722414,2
2024-05-11T10:48:43.993Z,2024-05-11T10:48:44.055765Z,2024-05-11T10:48:44.080772Z,87.772,25.005292,28.296298333333333,25.005292,34.722414,3
2024-05-11T10:48:43.996Z,2024-05-11T10:48:44.081339Z,2024-05-11T10:48:44.105454Z,109.454,24.112252,27.25028675,24.112252,34.722414,4
2024-05-11T10:48:43.999Z,2024-05-11T10:48:44.105952Z,2024-05-11T10:48:44.115125Z,116.125,9.1704,23.6343094,9.1704,34.722414,5
2024-05-11T10:48:44.001Z,2024-05-11T10:48:44.115748Z,2024-05-11T10:48:44.124850Z,123.85000000000001,9.099992,21.21192316666667,9.099992,34.722414,6
2024-05-11T10:48:44.003Z,2024-05-11T10:48:44.125374Z,2024-05-11T10:48:44.134445Z,131.445,9.068873,19.477201714285712,9.068873,34.722414,7
2024-05-11T10:48:44.006Z,2024-05-11T10:48:44.135034Z,2024-05-11T10:48:44.143471Z,137.471,8.43565,18.09700775,8.43565,34.722414,8
2024-05-11T10:48:44.009Z,2024-05-11T10:48:44.143888Z,2024-05-11T10:48:44.152842Z,143.84199999999998,8.952378,17.080937777777777,8.43565,34.722414,9
2024-05-11T10:48:44.011Z,2024-05-11T10:48:44.153335Z,2024-05-11T10:48:44.162187Z,151.18699999999998,8.849223,16.2577663,8.43565,34.722414,10
2024-05-11T10:48:44.013Z,2024-05-11T10:48:44.162784Z,2024-05-11T10:48:44.171387Z,158.387,8.600453,15.561646909090909,8.43565,34.722414,11
2024-05-11T10:48:44.015Z,2024-05-11T10:48:44.171904Z,2024-05-11T10:48:44.180266Z,165.266,8.359774,14.961490833333334,8.359774,34.722414,12
2024-05-11T10:48:48.836Z,2024-05-11T10:48:48.840116Z,2024-05-11T10:48:48.861389Z,25.389,21.271678,15.446889846153846,8.359774,34.722414,13
2024-05-11T10:48:48.839Z,2024-05-11T10:48:48.864589Z,2024-05-11T10:48:48.876993Z,37.993,12.404755,15.2295945,8.359774,34.722414,14
2024-05-11T10:48:48.841Z,2024-05-11T10:48:48.877507Z,2024-05-11T10:48:48.901519Z,60.519000000000005,24.009463,15.814919066666667,8.359774,34.722414,15
2024-05-11T10:48:48.843Z,2024-05-11T10:48:48.902008Z,2024-05-11T10:48:48.913133Z,70.133,11.123189,15.5216859375,8.359774,34.722414,16
2024-05-11T10:48:48.845Z,2024-05-11T10:48:48.913589Z,2024-05-11T10:48:48.926615Z,81.615,13.024403,15.37478694117647,8.359774,34.722414,17
2024-05-11T10:48:48.848Z,2024-05-11T10:48:48.927199Z,2024-05-11T10:48:48.939438Z,91.438,12.236921,15.200461055555555,8.359774,34.722414,18
2024-05-11T10:48:48.850Z,2024-05-11T10:48:48.940001Z,2024-05-11T10:48:48.951342Z,101.342,11.338836,14.997217631578946,8.359774,34.722414,19
2024-05-11T10:48:48.852Z,2024-05-11T10:48:48.951831Z,2024-05-11T10:48:48.962957Z,110.957,11.12408,14.80356075,8.359774,34.722414,20
2024-05-11T10:48:48.854Z,2024-05-11T10:48:48.963466Z,2024-05-11T10:48:48.973256Z,119.256,9.788623,14.56475419047619,8.359774,34.722414,21
2024-05-11T10:48:48.856Z,2024-05-11T10:48:48.973768Z,2024-05-11T10:48:48.984509Z,128.50900000000001,10.739031,14.390857681818181,8.359774,34.722414,22
2024-05-11T10:48:48.859Z,2024-05-11T10:48:48.985023Z,2024-05-11T10:48:48.993834Z,134.834,8.80972,14.14819952173913,8.359774,34.722414,23
2024-05-11T10:48:48.861Z,2024-05-11T10:48:48.996122Z,2024-05-11T10:48:49.005835Z,144.83499999999998,9.712683,13.963386333333334,8.359774,34.722414,24
2024-05-11T10:48:53.807Z,2024-05-11T10:48:53.809821Z,2024-05-11T10:48:53.819707Z,12.706999999999999,9.884565,13.800233480000001,8.359774,34.722414,25
2024-05-11T10:48:53.809Z,2024-05-11T10:48:53.822962Z,2024-05-11T10:48:53.833781Z,24.781000000000002,10.818319,13.685544461538463,8.359774,34.722414,26
2024-05-11T10:48:53.811Z,2024-05-11T10:48:53.834412Z,2024-05-11T10:48:53.848693Z,37.693,14.2787,13.707513185185185,8.359774,34.722414,27
2024-05-11T10:48:53.813Z,2024-05-11T10:48:53.849772Z,2024-05-11T10:48:53.860940Z,47.940000000000005,11.165848,13.61673942857143,8.359774,34.722414,28
2024-05-11T10:48:53.820Z,2024-05-11T10:48:53.863075Z,2024-05-11T10:48:53.873671Z,53.67100000000001,10.595721,13.512566379310345,8.359774,34.722414,29
2024-05-11T10:48:53.824Z,2024-05-11T10:48:53.874124Z,2024-05-11T10:48:53.883825Z,59.825,9.698831,13.385441866666667,8.359774,34.722414,30
2024-05-11T10:48:53.826Z,2024-05-11T10:48:53.884318Z,2024-05-11T10:48:53.896773Z,70.773,12.452741,13.355354741935484,8.359774,34.722414,31
2024-05-11T10:48:53.829Z,2024-05-11T10:48:53.897256Z,2024-05-11T10:48:53.908544Z,79.544,11.269168,13.29016140625,8.359774,34.722414,32
2024-05-11T10:48:53.831Z,2024-05-11T10:48:53.909030Z,2024-05-11T10:48:53.918471Z,87.47099999999999,9.439258,13.173467363636364,8.359774,34.722414,33
2024-05-11T10:48:53.833Z,2024-05-11T10:48:53.918948Z,2024-05-11T10:48:53.929018Z,96.018,10.067586,13.082117911764705,8.359774,34.722414,34
2024-05-11T10:48:53.837Z,2024-05-11T10:48:53.929516Z,2024-05-11T10:48:53.938657Z,101.657,9.138059,12.969430514285714,8.359774,34.722414,35
2024-05-11T10:48:53.841Z,2024-05-11T10:48:53.939123Z,2024-05-11T10:48:53.955764Z,114.76400000000001,16.63896,13.071361888888887,8.359774,34.722414,36
2024-05-11T10:48:58.417Z,2024-05-11T10:48:58.420296Z,2024-05-11T10:48:58.432658Z,15.657999999999998,12.343676,13.051694702702703,8.359774,34.722414,37
2024-05-11T10:48:58.419Z,2024-05-11T10:48:58.435049Z,2024-05-11T10:48:58.444628Z,25.628,9.578709,12.960300342105263,8.359774,34.722414,38
2024-05-11T10:48:58.421Z,2024-05-11T10:48:58.445335Z,2024-05-11T10:48:58.468853Z,47.853,23.516684,13.230976846153846,8.359774,34.722414,39
2024-05-11T10:48:58.422Z,2024-05-11T10:48:58.469364Z,2024-05-11T10:48:58.477998Z,55.998,8.631259,13.1159839,8.359774,34.722414,40
2024-05-11T10:48:58.424Z,2024-05-11T10:48:58.478473Z,2024-05-11T10:48:58.486949Z,62.949000000000005,8.455699,13.002318414634146,8.359774,34.722414,41
2024-05-11T10:48:58.426Z,2024-05-11T10:48:58.487455Z,2024-05-11T10:48:58.495903Z,69.903,8.446374,12.89384354761905,8.359774,34.722414,42
2024-05-11T10:48:58.428Z,2024-05-11T10:48:58.496419Z,2024-05-11T10:48:58.505964Z,77.964,9.542318,12.815901093023255,8.359774,34.722414,43
2024-05-11T10:48:58.430Z,2024-05-11T10:48:58.506570Z,2024-05-11T10:48:58.514974Z,84.97399999999999,8.401873,12.715582272727273,8.359774,34.722414,44
2024-05-11T10:48:58.431Z,2024-05-11T10:48:58.515459Z,2024-05-11T10:48:58.524434Z,93.434,8.973027,12.632414377777778,8.359774,34.722414,45
2024-05-11T10:48:58.434Z,2024-05-11T10:48:58.526996Z,2024-05-11T10:48:58.536853Z,102.853,9.856125,12.572060260869565,8.359774,34.722414,46
2024-05-11T10:48:58.437Z,2024-05-11T10:48:58.537405Z,2024-05-11T10:48:58.545106Z,108.106,7.697448,12.468345106382978,7.697448,34.722414,47
2024-05-11T10:48:58.439Z,2024-05-11T10:48:58.545729Z,2024-05-11T10:48:58.553654Z,114.65400000000001,7.921704,12.373623416666666,7.697448,34.722414,48
2024-05-11T10:49:03.431Z,2024-05-11T10:49:03.433990Z,2024-05-11T10:49:03.445742Z,14.741999999999999,11.751511,12.36092724489796,7.697448,34.722414,49
2024-05-11T10:49:03.433Z,2024-05-11T10:49:03.448267Z,2024-05-11T10:49:03.457749Z,24.749,9.481401,12.30333672,7.697448,34.722414,50
2024-05-11T10:49:03.434Z,2024-05-11T10:49:03.458360Z,2024-05-11T10:49:03.466720Z,32.72,8.339947,12.22562319607843,7.697448,34.722414,51
2024-05-11T10:49:03.436Z,2024-05-11T10:49:03.467332Z,2024-05-11T10:49:03.475979Z,39.979,8.64465,12.156758326923075,7.697448,34.722414,52
