observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-05-31T16:48:38.523Z,2024-05-31T16:48:38.542516Z,2024-05-31T16:48:38.551269Z,28.269,8.759756,8.759756,8.759756,8.759756,1
2024-05-31T16:48:38.538Z,2024-05-31T16:48:38.553577Z,2024-05-31T16:48:38.558252Z,20.252,4.675241,6.7174985,4.675241,8.759756,2
2024-05-31T16:48:38.546Z,2024-05-31T16:48:38.558705Z,2024-05-31T16:48:38.563220Z,17.22,4.514353,5.983116666666667,4.514353,8.759756,3
2024-05-31T16:48:38.548Z,2024-05-31T16:48:38.563682Z,2024-05-31T16:48:38.568027Z,20.027,4.343406,5.573189,4.343406,8.759756,4
2024-05-31T16:48:38.551Z,2024-05-31T16:48:38.569970Z,2024-05-31T16:48:38.574381Z,23.381,4.410398,5.3406308,4.343406,8.759756,5
2024-05-31T16:48:38.553Z,2024-05-31T16:48:38.574826Z,2024-05-31T16:48:38.579191Z,26.191,4.363956,5.177851666666667,4.343406,8.759756,6
2024-05-31T16:48:38.555Z,2024-05-31T16:48:38.579650Z,2024-05-31T16:48:38.584110Z,29.11,4.458957,5.075152428571428,4.343406,8.759756,7
2024-05-31T16:48:38.556Z,2024-05-31T16:48:38.584566Z,2024-05-31T16:48:38.588891Z,32.891,4.324046,4.981264125,4.324046,8.759756,8
2024-05-31T16:48:38.558Z,2024-05-31T16:48:38.589325Z,2024-05-31T16:48:38.593420Z,35.42,4.094057,4.882685555555556,4.094057,8.759756,9
2024-05-31T16:48:38.559Z,2024-05-31T16:48:38.593815Z,2024-05-31T16:48:38.597886Z,38.885999999999996,4.069527,4.8013697,4.069527,8.759756,10
2024-05-31T16:48:38.561Z,2024-05-31T16:48:38.598316Z,2024-05-31T16:48:38.602356Z,41.355999999999995,4.039251,4.732086181818182,4.039251,8.759756,11
2024-05-31T16:48:38.563Z,2024-05-31T16:48:38.602769Z,2024-05-31T16:48:38.606778Z,43.778,4.008334,4.6717735,4.008334,8.759756,12
2024-05-31T16:48:38.564Z,2024-05-31T16:48:38.607187Z,2024-05-31T16:48:38.611038Z,47.038000000000004,3.849315,4.608507461538462,3.849315,8.759756,13
2024-05-31T16:48:38.566Z,2024-05-31T16:48:38.611465Z,2024-05-31T16:48:38.615302Z,49.302,3.835684,4.553305785714286,3.835684,8.759756,14
2024-05-31T16:48:38.568Z,2024-05-31T16:48:38.617312Z,2024-05-31T16:48:38.621758Z,53.758,4.445332,4.546107533333333,3.835684,8.759756,15
2024-05-31T16:48:38.570Z,2024-05-31T16:48:38.622188Z,2024-05-31T16:48:38.626399Z,56.399,4.209954,4.5250979375,3.835684,8.759756,16
2024-05-31T16:48:38.571Z,2024-05-31T16:48:38.626877Z,2024-05-31T16:48:38.631887Z,60.88699999999999,4.992745,4.552606588235294,3.835684,8.759756,17
2024-05-31T16:48:38.573Z,2024-05-31T16:48:38.632385Z,2024-05-31T16:48:38.637132Z,64.13199999999999,4.745768,4.563337777777778,3.835684,8.759756,18
2024-05-31T16:48:38.575Z,2024-05-31T16:48:38.637653Z,2024-05-31T16:48:38.642137Z,67.137,4.483017,4.559110368421052,3.835684,8.759756,19
2024-05-31T16:48:38.576Z,2024-05-31T16:48:38.642665Z,2024-05-31T16:48:38.647470Z,71.47,4.804418,4.57137575,3.835684,8.759756,20
2024-05-31T16:48:38.578Z,2024-05-31T16:48:38.647876Z,2024-05-31T16:48:38.652397Z,74.397,4.519632,4.568911761904762,3.835684,8.759756,21
2024-05-31T16:48:38.580Z,2024-05-31T16:48:38.652845Z,2024-05-31T16:48:38.657134Z,77.134,4.287865,4.556136909090909,3.835684,8.759756,22
2024-05-31T16:48:38.581Z,2024-05-31T16:48:38.657552Z,2024-05-31T16:48:38.661521Z,80.521,3.968224,4.530575478260869,3.835684,8.759756,23
2024-05-31T16:48:38.583Z,2024-05-31T16:48:38.661945Z,2024-05-31T16:48:38.665850Z,82.85,3.90475,4.5044994166666665,3.835684,8.759756,24
2024-05-31T16:48:43.310Z,2024-05-31T16:48:43.319873Z,2024-05-31T16:48:43.328146Z,18.145999999999997,8.277169,4.6554062,3.835684,8.759756,25
2024-05-31T16:48:43.318Z,2024-05-31T16:48:43.329888Z,2024-05-31T16:48:43.334609Z,16.608999999999998,4.720713,4.657918,3.835684,8.759756,26
2024-05-31T16:48:43.324Z,2024-05-31T16:48:43.335098Z,2024-05-31T16:48:43.339697Z,15.697,4.597275,4.655671962962963,3.835684,8.759756,27
2024-05-31T16:48:43.326Z,2024-05-31T16:48:43.340178Z,2024-05-31T16:48:43.344675Z,18.675,4.495412,4.649948392857143,3.835684,8.759756,28
2024-05-31T16:48:43.328Z,2024-05-31T16:48:43.346607Z,2024-05-31T16:48:43.351289Z,23.289,4.681083,4.651022,3.835684,8.759756,29
2024-05-31T16:48:43.329Z,2024-05-31T16:48:43.351768Z,2024-05-31T16:48:43.356381Z,27.381,4.611974,4.6497204000000005,3.835684,8.759756,30
2024-05-31T16:48:43.331Z,2024-05-31T16:48:43.356864Z,2024-05-31T16:48:43.361445Z,30.445,4.580039,4.647472612903226,3.835684,8.759756,31
2024-05-31T16:48:43.333Z,2024-05-31T16:48:43.361929Z,2024-05-31T16:48:43.366454Z,33.454,4.524328,4.64362434375,3.835684,8.759756,32
2024-05-31T16:48:43.335Z,2024-05-31T16:48:43.366892Z,2024-05-31T16:48:43.371155Z,36.155,4.262841,4.632085454545454,3.835684,8.759756,33
2024-05-31T16:48:43.336Z,2024-05-31T16:48:43.371600Z,2024-05-31T16:48:43.375703Z,39.703,4.102202,4.616500647058823,3.835684,8.759756,34
2024-05-31T16:48:43.338Z,2024-05-31T16:48:43.376137Z,2024-05-31T16:48:43.380163Z,42.163,4.025437,4.599613114285714,3.835684,8.759756,35
2024-05-31T16:48:43.339Z,2024-05-31T16:48:43.380586Z,2024-05-31T16:48:43.384629Z,45.629000000000005,4.042256,4.584130972222222,3.835684,8.759756,36
2024-05-31T16:48:43.341Z,2024-05-31T16:48:43.385055Z,2024-05-31T16:48:43.389053Z,48.053,3.996984,4.568262135135135,3.835684,8.759756,37
2024-05-31T16:48:43.343Z,2024-05-31T16:48:43.389476Z,2024-05-31T16:48:43.393560Z,50.56,4.083994,4.555518236842105,3.835684,8.759756,38
2024-05-31T16:48:43.344Z,2024-05-31T16:48:43.395612Z,2024-05-31T16:48:43.399915Z,55.915,4.303797,4.549063846153846,3.835684,8.759756,39
2024-05-31T16:48:43.346Z,2024-05-31T16:48:43.400353Z,2024-05-31T16:48:43.404448Z,58.448,4.094346,4.5376959,3.835684,8.759756,40
2024-05-31T16:48:43.348Z,2024-05-31T16:48:43.404873Z,2024-05-31T16:48:43.408949Z,60.949000000000005,4.075042,4.526411658536585,3.835684,8.759756,41
2024-05-31T16:48:43.349Z,2024-05-31T16:48:43.409384Z,2024-05-31T16:48:43.413363Z,64.363,3.978798,4.513373238095238,3.835684,8.759756,42
2024-05-31T16:48:43.351Z,2024-05-31T16:48:43.413789Z,2024-05-31T16:48:43.418032Z,67.032,4.24308,4.507087348837209,3.835684,8.759756,43
2024-05-31T16:48:43.352Z,2024-05-31T16:48:43.418476Z,2024-05-31T16:48:43.422580Z,70.58,4.10334,4.497911272727272,3.835684,8.759756,44
2024-05-31T16:48:43.354Z,2024-05-31T16:48:43.423009Z,2024-05-31T16:48:43.427036Z,73.036,4.026234,4.487429555555556,3.835684,8.759756,45
2024-05-31T16:48:43.355Z,2024-05-31T16:48:43.427465Z,2024-05-31T16:48:43.431462Z,76.462,3.997393,4.476776586956522,3.835684,8.759756,46
2024-05-31T16:48:43.357Z,2024-05-31T16:48:43.431882Z,2024-05-31T16:48:43.435846Z,78.846,3.96353,4.465856446808511,3.835684,8.759756,47
2024-05-31T16:48:43.359Z,2024-05-31T16:48:43.436273Z,2024-05-31T16:48:43.440359Z,81.359,4.085877,4.457940208333333,3.835684,8.759756,48
2024-05-31T16:48:47.963Z,2024-05-31T16:48:47.973224Z,2024-05-31T16:48:47.994035Z,31.035,20.810492,4.791665755102041,3.835684,20.810492,49
2024-05-31T16:48:47.971Z,2024-05-31T16:48:48.001130Z,2024-05-31T16:48:48.022504Z,51.504,21.373874,5.12330992,3.835684,21.373874,50
2024-05-31T16:48:47.978Z,2024-05-31T16:48:48.024067Z,2024-05-31T16:48:48.035093Z,57.092999999999996,11.025179,5.239032843137255,3.835684,21.373874,51
2024-05-31T16:48:47.985Z,2024-05-31T16:48:48.036058Z,2024-05-31T16:48:48.043566Z,58.566,7.506914,5.282645942307692,3.835684,21.373874,52
2024-05-31T16:48:47.992Z,2024-05-31T16:48:48.044356Z,2024-05-31T16:48:48.051233Z,59.233000000000004,6.875614,5.312701943396227,3.835684,21.373874,53
2024-05-31T16:48:47.999Z,2024-05-31T16:48:48.053957Z,2024-05-31T16:48:48.059563Z,60.562999999999995,5.605133,5.318117333333333,3.835684,21.373874,54
2024-05-31T16:48:48.006Z,2024-05-31T16:48:48.060107Z,2024-05-31T16:48:48.065055Z,59.05500000000001,4.94728,5.311374836363636,3.835684,21.373874,55
2024-05-31T16:48:48.013Z,2024-05-31T16:48:48.065550Z,2024-05-31T16:48:48.070027Z,57.027,4.476425,5.296465017857143,3.835684,21.373874,56
2024-05-31T16:48:48.020Z,2024-05-31T16:48:48.070485Z,2024-05-31T16:48:48.074799Z,54.799,4.311916,5.279192228070175,3.835684,21.373874,57
2024-05-31T16:48:48.026Z,2024-05-31T16:48:48.075271Z,2024-05-31T16:48:48.079621Z,53.621,4.349107,5.263156275862069,3.835684,21.373874,58
