observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-06-02T14:07:59.904637Z,2024-06-02T14:07:59.959413Z,2024-06-02T14:08:00.468351Z,563.714,508.941383,508.941383,508.941383,508.941383,1
2024-06-02T14:08:05.189270Z,2024-06-02T14:08:05.205951Z,2024-06-02T14:08:05.960603Z,771.3330000000001,754.65323,631.7973065,508.941383,754.65323,2
2024-06-02T14:08:10.104550Z,2024-06-02T14:08:10.121154Z,2024-06-02T14:08:10.802371Z,697.821,681.217515,648.2707093333333,508.941383,754.65323,3
2024-06-02T14:08:15.344543Z,2024-06-02T14:08:15.396851Z,2024-06-02T14:08:16.170728Z,826.185,773.878692,679.672705,508.941383,773.878692,4
2024-06-02T14:08:20.508949Z,2024-06-02T14:08:20.525387Z,2024-06-02T14:08:21.195892Z,686.943,670.505902,677.8393444,508.941383,773.878692,5
2024-06-02T14:08:25.821129Z,2024-06-02T14:08:25.837356Z,2024-06-02T14:08:26.508137Z,687.0079999999999,670.781716,676.663073,508.941383,773.878692,6
2024-06-02T14:08:30.352501Z,2024-06-02T14:08:30.364751Z,2024-06-02T14:08:31.028091Z,675.59,663.340663,674.7598715714286,508.941383,773.878692,7
2024-06-02T14:08:35.745289Z,2024-06-02T14:08:35.761609Z,2024-06-02T14:08:36.391676Z,646.3870000000001,630.068224,669.173415625,508.941383,773.878692,8
2024-06-02T14:08:40.956568Z,2024-06-02T14:08:40.972470Z,2024-06-02T14:08:41.606890Z,650.322,634.421581,665.3121006666667,508.941383,773.878692,9
2024-06-02T14:08:45.664659Z,2024-06-02T14:08:45.679050Z,2024-06-02T14:08:46.298442Z,633.783,619.391945,660.7200851,508.941383,773.878692,10
2024-06-02T14:08:50.260493Z,2024-06-02T14:08:50.272157Z,2024-06-02T14:08:50.922959Z,662.466,650.803573,659.818584,508.941383,773.878692,11
2024-06-02T14:08:55.303088Z,2024-06-02T14:08:55.315150Z,2024-06-02T14:08:55.944966Z,641.8779999999999,629.817763,657.3185155833334,508.941383,773.878692,12
2024-06-02T14:09:00.404671Z,2024-06-02T14:09:00.420476Z,2024-06-02T14:09:01.058577Z,653.906,638.102086,655.8403286923077,508.941383,773.878692,13
2024-06-02T14:09:05.199106Z,2024-06-02T14:09:05.215255Z,2024-06-02T14:09:05.824463Z,625.3570000000001,609.208783,652.509504,508.941383,773.878692,14
2024-06-02T14:09:10.542052Z,2024-06-02T14:09:10.558325Z,2024-06-02T14:09:11.169370Z,627.3180000000001,611.045425,649.7452320666667,508.941383,773.878692,15
2024-06-02T14:09:15.999479Z,2024-06-02T14:09:16.015165Z,2024-06-02T14:09:16.642253Z,642.774,627.07285,648.3282081875,508.941383,773.878692,16
2024-06-02T14:09:21.474160Z,2024-06-02T14:09:21.485529Z,2024-06-02T14:09:22.101420Z,627.26,615.890731,646.4201212941177,508.941383,773.878692,17
2024-06-02T14:09:26.240198Z,2024-06-02T14:09:26.256147Z,2024-06-02T14:09:26.859962Z,619.764,603.816071,644.0532296111112,508.941383,773.878692,18
2024-06-02T14:09:30.983134Z,2024-06-02T14:09:31.005542Z,2024-06-02T14:09:31.606365Z,623.231,600.823419,641.7779764210526,508.941383,773.878692,19
2024-06-02T14:09:35.528483Z,2024-06-02T14:09:35.540910Z,2024-06-02T14:09:36.198713Z,670.23,657.804611,642.57930815,508.941383,773.878692,20
2024-06-02T14:09:41.043909Z,2024-06-02T14:09:41.059919Z,2024-06-02T14:09:41.652820Z,608.911,592.902196,640.2137313809524,508.941383,773.878692,21
2024-06-02T14:09:46.456902Z,2024-06-02T14:09:46.474189Z,2024-06-02T14:09:47.126313Z,669.411,652.124787,640.755143,508.941383,773.878692,22
2024-06-02T14:09:51.454690Z,2024-06-02T14:09:51.470263Z,2024-06-02T14:09:52.065639Z,610.949,595.377586,638.7822057391304,508.941383,773.878692,23
2024-06-02T14:09:56.588592Z,2024-06-02T14:09:56.600024Z,2024-06-02T14:09:57.194583Z,605.991,594.5598,636.9396055,508.941383,773.878692,24
2024-06-02T14:10:01.308313Z,2024-06-02T14:10:01.324517Z,2024-06-02T14:10:01.922166Z,613.853,597.650037,635.36802276,508.941383,773.878692,25
2024-06-02T14:10:06.242692Z,2024-06-02T14:10:06.258477Z,2024-06-02T14:10:06.858872Z,616.18,600.396551,634.0229661538461,508.941383,773.878692,26
