observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,mean_processing_time_since_observed_at,min_processing_time_since_observed_at,max_processing_time_since_observed_at,query_execution_time,mean_execution_time,min_execution_time,max_execution_time,notifications_received
2025-04-21T20:16:10.177246Z,2025-04-21T20:16:09.588171Z,2025-04-21T20:16:10.193090Z,15.844000000000001,30.919,15.844000000000001,45.994,604.919,632.1125,604.919,659.3059999999999,2
2025-04-21T20:16:15.759501Z,2025-04-21T20:16:15.198287Z,2025-04-21T20:16:15.773910Z,14.409,25.41566666666667,14.409,45.994,575.623,613.2826666666666,575.623,659.3059999999999,3
2025-04-21T20:16:21.286003Z,2025-04-21T20:16:20.778294Z,2025-04-21T20:16:21.300290Z,14.286999999999999,22.6335,14.286999999999999,45.994,521.996,590.461,521.996,659.3059999999999,4
2025-04-21T20:16:26.862172Z,2025-04-21T20:16:26.302313Z,2025-04-21T20:16:26.876057Z,13.885,20.8838,13.885,45.994,573.744,587.1176,521.996,659.3059999999999,5
2025-04-21T20:16:32.490948Z,2025-04-21T20:16:31.878300Z,2025-04-21T20:16:32.504903Z,13.955,19.729,13.885,45.994,626.6030000000001,593.6985,521.996,659.3059999999999,6
2025-04-21T20:16:38.098137Z,2025-04-21T20:16:37.510303Z,2025-04-21T20:16:38.111866Z,13.729,18.87185714285714,13.729,45.994,601.563,594.822,521.996,659.3059999999999,7
2025-04-21T20:16:43.666493Z,2025-04-21T20:16:43.116675Z,2025-04-21T20:16:43.680076Z,13.583,18.21075,13.583,45.994,563.4010000000001,590.894375,521.996,659.3059999999999,8
2025-04-21T20:16:49.247526Z,2025-04-21T20:16:48.684664Z,2025-04-21T20:16:49.261642Z,14.116,17.755777777777777,13.583,45.994,576.978,589.3481111111112,521.996,659.3059999999999,9
2025-04-21T20:16:54.816031Z,2025-04-21T20:16:54.266314Z,2025-04-21T20:16:54.829757Z,13.726,17.3528,13.583,45.994,563.443,586.7576000000001,521.996,659.3059999999999,10
2025-04-21T20:17:00.393087Z,2025-04-21T20:16:59.834293Z,2025-04-21T20:17:00.406606Z,13.519,17.004272727272724,13.519,45.994,572.313,585.4444545454546,521.996,659.3059999999999,11
2025-04-21T20:17:05.983540Z,2025-04-21T20:17:05.412429Z,2025-04-21T20:17:05.996520Z,12.98,16.668916666666664,12.98,45.994,584.091,585.3316666666667,521.996,659.3059999999999,12
2025-04-21T20:17:11.589239Z,2025-04-21T20:17:10.998364Z,2025-04-21T20:17:11.602815Z,13.575999999999999,16.430999999999997,12.98,45.994,604.4509999999999,586.8023846153847,521.996,659.3059999999999,13
2025-04-21T20:17:17.171610Z,2025-04-21T20:17:16.606284Z,2025-04-21T20:17:17.184591Z,12.981,16.184571428571427,12.98,45.994,578.307,586.1955714285715,521.996,659.3059999999999,14
2025-04-21T20:17:22.760728Z,2025-04-21T20:17:22.190286Z,2025-04-21T20:17:22.774208Z,13.48,16.004266666666666,12.98,45.994,583.922,586.044,521.996,659.3059999999999,15
2025-04-21T20:17:28.289045Z,2025-04-21T20:17:27.778579Z,2025-04-21T20:17:28.302228Z,13.183,15.8279375,12.98,45.994,523.649,582.1443125000001,521.996,659.3059999999999,16
2025-04-21T20:17:33.883701Z,2025-04-21T20:17:33.306290Z,2025-04-21T20:17:33.896890Z,13.189,15.672705882352943,12.98,45.994,590.6,582.6417058823531,521.996,659.3059999999999,17
2025-04-21T20:17:39.486832Z,2025-04-21T20:17:38.902307Z,2025-04-21T20:17:39.499844Z,13.011999999999999,15.52488888888889,12.98,45.994,597.537,583.4692222222225,521.996,659.3059999999999,18
2025-04-21T20:17:45.117598Z,2025-04-21T20:17:44.502291Z,2025-04-21T20:17:45.130505Z,12.907,15.387105263157896,12.907,45.994,628.214,585.8242105263159,521.996,659.3059999999999,19
2025-04-21T20:17:50.678291Z,2025-04-21T20:17:50.134288Z,2025-04-21T20:17:50.691875Z,13.584000000000001,15.29695,12.907,45.994,557.5870000000001,584.4123500000002,521.996,659.3059999999999,20
2025-04-21T20:17:56.329308Z,2025-04-21T20:17:55.697765Z,2025-04-21T20:17:56.341679Z,12.371,15.15761904761905,12.371,45.994,643.914,587.245761904762,521.996,659.3059999999999,21
