observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-26T09:30:05.177323Z,2025-04-26T09:30:05.262069Z,84.746 ms,84.746 ms,84.746 ms,84.746 ms,1
2025-04-26T09:30:14.493171Z,2025-04-26T09:30:14.556138Z,62.967 ms,73.8565 ms,62.967 ms,84.746 ms,2
2025-04-26T09:30:14.619903Z,2025-04-26T09:30:14.696014Z,76.111 ms,74.60799999999999 ms,62.967 ms,84.746 ms,3
2025-04-26T09:30:14.747528Z,2025-04-26T09:30:14.807349Z,59.821 ms,70.91125 ms,59.821 ms,84.746 ms,4
2025-04-26T09:30:14.853943Z,2025-04-26T09:30:14.889347Z,35.403999999999996 ms,63.8098 ms,35.403999999999996 ms,84.746 ms,5
2025-04-26T09:30:14.945785Z,2025-04-26T09:30:14.988077Z,42.292 ms,60.223499999999994 ms,35.403999999999996 ms,84.746 ms,6
2025-04-26T09:30:15.034264Z,2025-04-26T09:30:15.088927Z,54.663000000000004 ms,59.42914285714286 ms,35.403999999999996 ms,84.746 ms,7
2025-04-26T09:30:15.117138Z,2025-04-26T09:30:15.179249Z,62.111 ms,59.764374999999994 ms,35.403999999999996 ms,84.746 ms,8
2025-04-26T09:30:15.206857Z,2025-04-26T09:30:15.236858Z,30.001 ms,56.45733333333333 ms,30.001 ms,84.746 ms,9
2025-04-26T09:30:15.313615Z,2025-04-26T09:30:15.346753Z,33.138 ms,54.125400000000006 ms,30.001 ms,84.746 ms,10
2025-04-26T09:30:15.401433Z,2025-04-26T09:30:15.426414Z,24.980999999999998 ms,51.47590909090909 ms,24.980999999999998 ms,84.746 ms,11
2025-04-26T09:30:15.474234Z,2025-04-26T09:30:15.516565Z,42.331 ms,50.71383333333334 ms,24.980999999999998 ms,84.746 ms,12
2025-04-26T09:30:15.547361Z,2025-04-26T09:30:15.614292Z,66.931 ms,51.9613076923077 ms,24.980999999999998 ms,84.746 ms,13
