observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-26T09:08:11.953247Z,2025-04-26T09:08:11.960131Z,6.884 ms,6.884 ms,6.884 ms,6.884 ms,1
2025-04-26T09:08:26.284504Z,2025-04-26T09:08:26.288220Z,3.716 ms,5.3 ms,3.716 ms,6.884 ms,2
2025-04-26T09:08:40.275199Z,2025-04-26T09:08:40.278825Z,3.626 ms,4.742 ms,3.626 ms,6.884 ms,3
2025-04-26T09:08:40.357926Z,2025-04-26T09:08:40.361533Z,3.6069999999999998 ms,4.45825 ms,3.6069999999999998 ms,6.884 ms,4
2025-04-26T09:08:40.447564Z,2025-04-26T09:08:40.451274Z,3.7100000000000004 ms,4.3086 ms,3.6069999999999998 ms,6.884 ms,5
2025-04-26T09:08:40.525683Z,2025-04-26T09:08:40.531949Z,6.266 ms,4.634833333333334 ms,3.6069999999999998 ms,6.884 ms,6
2025-04-26T09:08:40.613789Z,2025-04-26T09:08:40.618148Z,4.359 ms,4.595428571428571 ms,3.6069999999999998 ms,6.884 ms,7
2025-04-26T09:08:40.713506Z,2025-04-26T09:08:40.717451Z,3.945 ms,4.514125 ms,3.6069999999999998 ms,6.884 ms,8
2025-04-26T09:08:40.791465Z,2025-04-26T09:08:40.795568Z,4.103 ms,4.468444444444445 ms,3.6069999999999998 ms,6.884 ms,9
2025-04-26T09:08:40.853322Z,2025-04-26T09:08:40.857643Z,4.321000000000001 ms,4.4536999999999995 ms,3.6069999999999998 ms,6.884 ms,10
2025-04-26T09:08:40.912155Z,2025-04-26T09:08:40.920488Z,8.333 ms,4.806363636363637 ms,3.6069999999999998 ms,8.333 ms,11
2025-04-26T09:08:40.973779Z,2025-04-26T09:08:40.977883Z,4.104 ms,4.747833333333333 ms,3.6069999999999998 ms,8.333 ms,12
2025-04-26T09:08:41.032793Z,2025-04-26T09:08:41.036621Z,3.828 ms,4.677076923076923 ms,3.6069999999999998 ms,8.333 ms,13
2025-04-26T09:08:41.089078Z,2025-04-26T09:08:41.093139Z,4.061 ms,4.633071428571428 ms,3.6069999999999998 ms,8.333 ms,14
2025-04-26T09:08:41.143337Z,2025-04-26T09:08:41.147485Z,4.148 ms,4.6007333333333325 ms,3.6069999999999998 ms,8.333 ms,15
2025-04-26T09:08:41.200283Z,2025-04-26T09:08:41.210473Z,10.19 ms,4.9500625 ms,3.6069999999999998 ms,10.19 ms,16
2025-04-26T09:08:41.252965Z,2025-04-26T09:08:41.256992Z,4.027 ms,4.895764705882353 ms,3.6069999999999998 ms,10.19 ms,17
2025-04-26T09:08:41.307391Z,2025-04-26T09:08:41.311456Z,4.065 ms,4.849611111111111 ms,3.6069999999999998 ms,10.19 ms,18
