observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-26T09:59:42.723038Z,2025-04-26T09:59:42.723038Z,2025-04-26T09:59:42.779323Z,56.285000000000004 ms,56.287372 ms,56.287372 ms,56.287372 ms,56.287372 ms,1
2025-04-26T09:59:52.923441Z,2025-04-26T09:59:52.923441Z,2025-04-26T09:59:52.977716Z,54.275 ms,54.276426 ms,55.281899 ms,54.276426 ms,56.287372 ms,2
2025-04-26T09:59:53.049906Z,2025-04-26T09:59:53.049906Z,2025-04-26T09:59:53.116910Z,67.00399999999999 ms,67.005818 ms,59.189872 ms,54.276426 ms,67.005818 ms,3
2025-04-26T09:59:53.165081Z,2025-04-26T09:59:53.165081Z,2025-04-26T09:59:53.208569Z,43.488 ms,43.490318 ms,55.2649835 ms,43.490318 ms,67.005818 ms,4
2025-04-26T09:59:53.276106Z,2025-04-26T09:59:53.276106Z,2025-04-26T09:59:53.307652Z,31.546 ms,31.547858 ms,50.521558399999996 ms,31.547858 ms,67.005818 ms,5
2025-04-26T09:59:53.375294Z,2025-04-26T09:59:53.375294Z,2025-04-26T09:59:53.397070Z,21.776 ms,21.777762 ms,45.730925666666664 ms,21.777762 ms,67.005818 ms,6
2025-04-26T09:59:53.479361Z,2025-04-26T09:59:53.479361Z,2025-04-26T09:59:53.505252Z,25.891000000000002 ms,25.892675 ms,42.89688985714286 ms,21.777762 ms,67.005818 ms,7
2025-04-26T09:59:53.563752Z,2025-04-26T09:59:53.563752Z,2025-04-26T09:59:53.581852Z,18.1 ms,18.102237 ms,39.79755825 ms,18.102237 ms,67.005818 ms,8
2025-04-26T09:59:53.642431Z,2025-04-26T09:59:53.642431Z,2025-04-26T09:59:53.668136Z,25.705 ms,25.705764 ms,38.23180333333334 ms,18.102237 ms,67.005818 ms,9
2025-04-26T09:59:53.725933Z,2025-04-26T09:59:53.725933Z,2025-04-26T09:59:53.756649Z,30.716 ms,30.717626 ms,37.4803856 ms,18.102237 ms,67.005818 ms,10
2025-04-26T09:59:53.805442Z,2025-04-26T09:59:53.805442Z,2025-04-26T09:59:53.852296Z,46.854 ms,46.855627 ms,38.33268027272727 ms,18.102237 ms,67.005818 ms,11
2025-04-26T09:59:53.887414Z,2025-04-26T09:59:53.887414Z,2025-04-26T09:59:53.917280Z,29.866 ms,29.867539 ms,37.62725183333333 ms,18.102237 ms,67.005818 ms,12
2025-04-26T09:59:53.998342Z,2025-04-26T09:59:53.998342Z,2025-04-26T09:59:54.022469Z,24.127 ms,24.127027 ms,36.588773 ms,18.102237 ms,67.005818 ms,13
2025-04-26T09:59:54.079600Z,2025-04-26T09:59:54.079600Z,2025-04-26T09:59:54.108020Z,28.42 ms,28.421378 ms,36.005387642857144 ms,18.102237 ms,67.005818 ms,14
2025-04-26T09:59:54.179692Z,2025-04-26T09:59:54.179692Z,2025-04-26T09:59:54.216894Z,37.202 ms,37.203321 ms,36.085249866666665 ms,18.102237 ms,67.005818 ms,15
2025-04-26T09:59:54.282360Z,2025-04-26T09:59:54.282360Z,2025-04-26T09:59:54.301720Z,19.36 ms,19.361076 ms,35.039989 ms,18.102237 ms,67.005818 ms,16
2025-04-26T09:59:54.360180Z,2025-04-26T09:59:54.360180Z,2025-04-26T09:59:54.380149Z,19.969 ms,19.969755 ms,34.153504647058824 ms,18.102237 ms,67.005818 ms,17
2025-04-26T09:59:54.443598Z,2025-04-26T09:59:54.443598Z,2025-04-26T09:59:54.463557Z,19.959 ms,19.960186 ms,33.364986944444446 ms,18.102237 ms,67.005818 ms,18
2025-04-26T09:59:54.536647Z,2025-04-26T09:59:54.536647Z,2025-04-26T09:59:54.557370Z,20.723 ms,20.724101 ms,32.69967715789474 ms,18.102237 ms,67.005818 ms,19
2025-04-26T09:59:54.631194Z,2025-04-26T09:59:54.631194Z,2025-04-26T09:59:54.663378Z,32.184 ms,32.18451 ms,32.6739188 ms,18.102237 ms,67.005818 ms,20
2025-04-26T09:59:54.698860Z,2025-04-26T09:59:54.698860Z,2025-04-26T09:59:54.717556Z,18.696 ms,18.696916 ms,32.00834723809524 ms,18.102237 ms,67.005818 ms,21
2025-04-26T09:59:54.773750Z,2025-04-26T09:59:54.773750Z,2025-04-26T09:59:54.811802Z,38.052 ms,38.053363 ms,32.28312068181818 ms,18.102237 ms,67.005818 ms,22
2025-04-26T09:59:54.847334Z,2025-04-26T09:59:54.847334Z,2025-04-26T09:59:54.869901Z,22.567 ms,22.568033 ms,31.86072556521739 ms,18.102237 ms,67.005818 ms,23
2025-04-26T09:59:54.920865Z,2025-04-26T09:59:54.920865Z,2025-04-26T09:59:54.954361Z,33.495999999999995 ms,33.496625 ms,31.928888041666667 ms,18.102237 ms,67.005818 ms,24
2025-04-26T09:59:54.992321Z,2025-04-26T09:59:54.992321Z,2025-04-26T09:59:55.029675Z,37.354 ms,37.355191 ms,32.14594016 ms,18.102237 ms,67.005818 ms,25
2025-04-26T09:59:55.093134Z,2025-04-26T09:59:55.093134Z,2025-04-26T09:59:55.116263Z,23.129 ms,23.130616 ms,31.799196923076924 ms,18.102237 ms,67.005818 ms,26
2025-04-26T09:59:55.165358Z,2025-04-26T09:59:55.165358Z,2025-04-26T09:59:55.184823Z,19.465 ms,19.464953 ms,31.342373074074075 ms,18.102237 ms,67.005818 ms,27
2025-04-26T09:59:55.242194Z,2025-04-26T09:59:55.242194Z,2025-04-26T09:59:55.258189Z,15.995 ms,15.997086 ms,30.79432710714286 ms,15.997086 ms,67.005818 ms,28
2025-04-26T09:59:55.311626Z,2025-04-26T09:59:55.311626Z,2025-04-26T09:59:55.334683Z,23.057000000000002 ms,23.058931 ms,30.527589310344826 ms,15.997086 ms,67.005818 ms,29
2025-04-26T09:59:55.370760Z,2025-04-26T09:59:55.370760Z,2025-04-26T09:59:55.387326Z,16.566000000000003 ms,16.567415 ms,30.06225016666667 ms,15.997086 ms,67.005818 ms,30
2025-04-26T09:59:55.450572Z,2025-04-26T09:59:55.450572Z,2025-04-26T09:59:55.470048Z,19.476 ms,19.47733 ms,29.720801129032257 ms,15.997086 ms,67.005818 ms,31
2025-04-26T09:59:55.513566Z,2025-04-26T09:59:55.513566Z,2025-04-26T09:59:55.532720Z,19.154 ms,19.132322 ms,29.38991115625 ms,15.997086 ms,67.005818 ms,32
2025-04-26T09:59:55.567261Z,2025-04-26T09:59:55.567261Z,2025-04-26T09:59:55.585596Z,18.335 ms,18.33668 ms,29.054964757575757 ms,15.997086 ms,67.005818 ms,33
2025-04-26T09:59:55.633791Z,2025-04-26T09:59:55.633791Z,2025-04-26T09:59:55.662355Z,28.564 ms,28.565638 ms,29.040572794117647 ms,15.997086 ms,67.005818 ms,34
