observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-26T09:45:40.981825Z,2025-04-26T09:45:40.981825Z,2025-04-26T09:45:40.981927Z,0.102 ms,0.102 ms,0.102 ms,0.102 ms,0.102 ms,1
2025-04-26T09:45:50.301648Z,2025-04-26T09:45:50.301648Z,2025-04-26T09:45:50.301740Z,0.092 ms,0.092 ms,0.097 ms,0.092 ms,0.102 ms,2
2025-04-26T09:45:50.411168Z,2025-04-26T09:45:50.411168Z,2025-04-26T09:45:50.411262Z,0.094 ms,0.094 ms,0.096 ms,0.092 ms,0.102 ms,3
2025-04-26T09:45:50.515879Z,2025-04-26T09:45:50.515879Z,2025-04-26T09:45:50.516010Z,0.131 ms,0.131 ms,0.10475 ms,0.092 ms,0.131 ms,4
2025-04-26T09:45:50.613296Z,2025-04-26T09:45:50.613296Z,2025-04-26T09:45:50.613405Z,0.10900000000000001 ms,0.10900000000000001 ms,0.1056 ms,0.092 ms,0.131 ms,5
2025-04-26T09:45:50.693139Z,2025-04-26T09:45:50.693139Z,2025-04-26T09:45:50.693266Z,0.127 ms,0.127 ms,0.10916666666666666 ms,0.092 ms,0.131 ms,6
2025-04-26T09:45:50.773084Z,2025-04-26T09:45:50.773084Z,2025-04-26T09:45:50.773214Z,0.12999999999999998 ms,0.12999999999999998 ms,0.11214285714285714 ms,0.092 ms,0.131 ms,7
2025-04-26T09:45:50.848918Z,2025-04-26T09:45:50.848918Z,2025-04-26T09:45:50.849041Z,0.12300000000000001 ms,0.12300000000000001 ms,0.11349999999999999 ms,0.092 ms,0.131 ms,8
2025-04-26T09:45:50.935954Z,2025-04-26T09:45:50.935954Z,2025-04-26T09:45:50.936091Z,0.13699999999999998 ms,0.13699999999999998 ms,0.11611111111111111 ms,0.092 ms,0.13699999999999998 ms,9
2025-04-26T09:45:51.017195Z,2025-04-26T09:45:51.017195Z,2025-04-26T09:45:51.017310Z,0.115 ms,0.115 ms,0.116 ms,0.092 ms,0.13699999999999998 ms,10
