observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-26T09:45:40.981825Z,2025-04-26T09:45:40.983257Z,1.432 ms,1.432 ms,1.432 ms,1.432 ms,1
2025-04-26T09:45:50.301648Z,2025-04-26T09:45:50.302728Z,1.08 ms,1.256 ms,1.08 ms,1.432 ms,2
2025-04-26T09:45:50.411168Z,2025-04-26T09:45:50.412262Z,1.0939999999999999 ms,1.202 ms,1.08 ms,1.432 ms,3
2025-04-26T09:45:50.515879Z,2025-04-26T09:45:50.517083Z,1.204 ms,1.2025 ms,1.08 ms,1.432 ms,4
2025-04-26T09:45:50.613296Z,2025-04-26T09:45:50.614459Z,1.163 ms,1.1946 ms,1.08 ms,1.432 ms,5
2025-04-26T09:45:50.693139Z,2025-04-26T09:45:50.694435Z,1.296 ms,1.2115 ms,1.08 ms,1.432 ms,6
2025-04-26T09:45:50.773084Z,2025-04-26T09:45:50.774344Z,1.26 ms,1.2184285714285714 ms,1.08 ms,1.432 ms,7
2025-04-26T09:45:50.848918Z,2025-04-26T09:45:50.850246Z,1.328 ms,1.232125 ms,1.08 ms,1.432 ms,8
2025-04-26T09:45:50.935954Z,2025-04-26T09:45:50.937244Z,1.2899999999999998 ms,1.2385555555555554 ms,1.08 ms,1.432 ms,9
2025-04-26T09:45:51.017195Z,2025-04-26T09:45:51.018341Z,1.1460000000000001 ms,1.2292999999999998 ms,1.08 ms,1.432 ms,10
2025-04-26T09:45:51.078022Z,2025-04-26T09:45:51.079230Z,1.2080000000000002 ms,1.2273636363636362 ms,1.08 ms,1.432 ms,11
2025-04-26T09:45:51.142907Z,2025-04-26T09:45:51.144032Z,1.125 ms,1.2188333333333332 ms,1.08 ms,1.432 ms,12
2025-04-26T09:45:51.202072Z,2025-04-26T09:45:51.203223Z,1.1509999999999998 ms,1.2136153846153845 ms,1.08 ms,1.432 ms,13
2025-04-26T09:45:51.255383Z,2025-04-26T09:45:51.256563Z,1.1800000000000002 ms,1.2112142857142858 ms,1.08 ms,1.432 ms,14
2025-04-26T09:45:51.310666Z,2025-04-26T09:45:51.315796Z,5.13 ms,1.4724666666666666 ms,1.08 ms,5.13 ms,15
2025-04-26T09:45:51.367287Z,2025-04-26T09:45:51.368441Z,1.1540000000000001 ms,1.4525624999999998 ms,1.08 ms,5.13 ms,16
2025-04-26T09:45:51.419751Z,2025-04-26T09:45:51.420849Z,1.098 ms,1.4317058823529412 ms,1.08 ms,5.13 ms,17
2025-04-26T09:45:51.473167Z,2025-04-26T09:45:51.474446Z,1.279 ms,1.4232222222222222 ms,1.08 ms,5.13 ms,18
2025-04-26T09:45:51.526019Z,2025-04-26T09:45:51.527215Z,1.196 ms,1.4112631578947366 ms,1.08 ms,5.13 ms,19
2025-04-26T09:45:51.590039Z,2025-04-26T09:45:51.595112Z,5.073 ms,1.59435 ms,1.08 ms,5.13 ms,20
2025-04-26T09:45:51.641637Z,2025-04-26T09:45:51.642900Z,1.2630000000000001 ms,1.5785714285714285 ms,1.08 ms,5.13 ms,21
2025-04-26T09:45:51.694647Z,2025-04-26T09:45:51.695699Z,1.052 ms,1.5546363636363636 ms,1.052 ms,5.13 ms,22
2025-04-26T09:45:51.746375Z,2025-04-26T09:45:51.747600Z,1.2249999999999999 ms,1.5403043478260867 ms,1.052 ms,5.13 ms,23
2025-04-26T09:45:51.797704Z,2025-04-26T09:45:51.798790Z,1.0859999999999999 ms,1.5213749999999995 ms,1.052 ms,5.13 ms,24
2025-04-26T09:45:51.847041Z,2025-04-26T09:45:51.851877Z,4.836 ms,1.6539599999999997 ms,1.052 ms,5.13 ms,25
2025-04-26T09:45:51.897563Z,2025-04-26T09:45:51.898712Z,1.149 ms,1.634538461538461 ms,1.052 ms,5.13 ms,26
2025-04-26T09:45:51.946232Z,2025-04-26T09:45:51.947388Z,1.156 ms,1.6168148148148143 ms,1.052 ms,5.13 ms,27
